"name","address","www","email","phone","rector","sun","week","fest","url"
"Parafia pw. św. Józefa","Bądecz 3, 89-320 Wysoka","","","67 287 11 09","ks. Zbigniew ZIMNIEWICZ","17.00 (w sobotę) - Bądecz, 18.00 (w sobotę) - Podróżna, 9.00. 10.30, 12.00","18.00"," ","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/161-bdecz-w-jozefa"
"Parafia pw. Chrystusa Dobrego Pasterza","ul. Czerska 40, 86-005 Białe Błota","www.parafiabb.pl","","52 381 40 22","ks. dr Adam Sierzchuła","18.00 (w sobotę), 8.00, 10.00, 12.00, 18.00","8.00, 18.00, w wakacje tylko o 18.00","10.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/326-biae-bota-chrystusa-dobrego-pasterza"
"Msze święte:","ul. Kościelna 14, 89-430 Białośliwie","","","67 287 50 32 - proboszcz","ks. Kazimierz CZYNSZ","7.30, 9.00, 10.15 - Pobórka Wielka, 11.30, 16.30","","7.30, 9.00, 16.00 - Pobórka Wielka, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/115-biaoliwie-najwitszego-serca-pana-jezusa"
"Parafia pw. NMP Królowej Polski","86-061 Brzoza","","","52 381 01 60","ks. Wojciech SZUKALSKI","18.00 (w sobotę), 8.00, 10.00, 12.00, 18.00","18.00","8.00, 16.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/116-brzoza-nmp-krolowej-polski"
"Parafia Katedralna pw. św. Marcina i Mikołaja","SANKTUARIUM MATKI BOSKIEJ PIEKNEJ MIŁOŚCI","www.katedrabydgoska.pl","stan-kotowski@wp.eu","52 322 45 86 - proboszcz","ks. Stanisław KOTOWSKI","8.00, 9.30, 11.00, 12.30. 18.00","8.00, 12.00, 17.00, 18.00 (tylko w sobotę)","8.00, 10.00, 12.00, 17.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/149-bydgoszcz-w-marcina-i-mikoaja-katedra-bydgoska"
"Parafia pw. Bożego Ciała","ul. Jesionowa 24, 85-149 Bydgoszcz","www.bozecialo.pl","","52 340 52 30 - proboszcz","ks. Ryszard PRUCZKOWSKI","18.00 (w sobotę), 8.00, 9.30, 11.00, 12.30, 18.00","7.00, 17.30, 18.00","7.00, 8.00, 17.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/117-bydgoszcz-boego-ciaa"
"Parafia pw. bł. Michała Kozala Biskupa i Męczennika","ul. Nakielska 303, 85-391 Bydgoszcz","","tadputz@op.pl","52 379 86 35 - proboszcz","ks. Tadeusz PUTZ","8.30, 10.00, 11.30, 18.00","7.30, 18.00","7.30, 10.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/140-bydgoszcz-b-michaa-kozala"
"Parafia pw. Chrystusa Króla","ul. Lotników 1, 85-339 Bydgoszcz","www.chrystuskrol.org","poczta@chrystuskrol.org","52 373 50 96 - proboszcz","ks. Józef PIETRAS","7.00, 9.00 (dla młodzieży), 10.30 (dla dzieci), 12.00, 15.00 (oprócz lipca i sierpnia), 17.00, 18.30","","7.00, 8.00, 9.30, 16.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/118-bydgoszcz-chrystusa-krola"
"Parafia pw. Ducha Świętego (Zgromadzenie Ducha Świętego)","Kościół Niepokalanego Serca NMP","www.duchswiety-bydgoszcz.pl","csspglinki@wp.pl","52 371 38 96","","7.30, 9.00, 10.30, 11.45, 13.00, 18.00","9.00, 18.00"," ","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/119-bydgoszcz-ducha-witego"
"Parafia pw. Matki Boskiej Częstochowskiej","ul. Żmudzka 2, 85-028 Bydgoszcz","www.mbczestochowska.pl","","52 345 20 33 - proboszcz","ks. Jerzy MARCINIAK","","7.00, 8.00, 18.00","7.00, 9.00, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/121-bydgoszcz-mb-czstochowskiej"
"Parafia pw. Matki Boskiej Królowej Męczenników","SANKTUARIUM  KRÓLOWEJ  MĘCZENNIKÓW Kalwaria Bydgoska - Golgota XX wieku","www.mbkm.pl","parafia@mbkm.pl","52 346 76 25 lub 52  - proboszcz","ks. Jan ANDRZEJCZAK","18.30 (w sobotę), 7.00, 8.30, 10.00; 11.30, 13.00, 17.00 (oprócz lipca i sierpnia), 18.30","7.00, 8.30, 17.00, 18.30","7.00, 8.30, 10.00, 17.00, 18.30","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/122-bydgoszcz-mb-krolowej-mczennikow"
"Parafia pw. Matki Boskiej Nieustającej Pomocy","ul. Ugory 16, 85-132 Bydgoszcz","www.ugory.bydgoszcz.pl","ugory@ugory.bydgoszcz.pl","52 348 70 05 - proboszcz","ks. Andrzej KŁOSIŃSKI","19.00 (w sobotę), 6.30, 8.30, 10.00, 11.30, 13.00, 19.00","7.00, 8.00, 18.00, 19.00","7.00, 8.00, 18.00, 19.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/125-bydgoszcz-mb-nieustajcej-pomocy"
"Msze święte:","ul. Kijowska 68, 85-703 Bydgoszcz","www.ostrobramska.bydgoszcz.pl","parafia@ostrobramska.bydgoszcz.pl","52 342 21 65 - proboszcz","ks. dr Rafał GRABOWSKI","7.30, 9.00, 10.30, 12.00, 13.00 (oprócz lipca i sierpnia), 18.00","7.00, 18.00, w styczniu 7.00, 15.00","8.00, 9.30, 16.30, 18.00","http://www.diecezja.bydgoszcz.pl/index.php/spis-parafii/123-bydgoszcz-mb-ostrobramskiej"
