"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia p.w. Matki Bożej Częstochowskiej","16-300","Augustów","16-300 Augustów, ul. Kard. Wyszyńskiego 2a","par.mbcz-augustow.ns48.pl/","","(87) 643-36-65","","7:30, 9:00, 10:30, 12:00, 18:00","7.00; 18.00","","52.32758399999999,21.110528899999963","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=1"
"Parafia p.w. Miłosierdzia Bożego","16-300","Augustów","16-300 Augustów, pl. Ks. Bolesława Szkiłądzia 1","","","(087) 643 49 79","","9:00, 11:00, 17:00","17:00","","53.84260753891666,22.995223485302745","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=2"
"Parafia p.w. Najświętszego Serca Jezusowego","16-300","Augustów","16-300 Augustów, ul. Ks. Skorupki 4","www.augustow-nsj.diecezja.elk.pl/","","(87) 643-36-48","","6:00, 8:00, 9:15, 10:30, 12:00, 15:30, 18:00","6.00; 6.30; 8.00; 12.00; 18.00","","53.841943,22.981490000000008","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=3"
"Parafia p.w. św. Jana Chrzciciela","16-300","Augustów","16-300 Augustów, Aleja Jana Pawła II 14","janchrzciciel.augustow.pl/","","(87) 643 06 19","","8:30, 10:00, 11:15, 12:30, 18:00","18:00; 19:00","","52.3280115,21.114954799999964","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=4"
"Parafia p.w. Świętej Rodziny","16-300","Augustów","16-300 Augustów, ul. Storczykowa 45","www.swieta-rodzina.augustow.pl/","","(087) 643 44 44","","8:00, 10:00, 12:00, 18:00","","","53.8357064,22.98114899999996","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=5"
"Parafia p.w. Matki Bożej Różańcowej","19-300","Ełk","19-300 Ełk, Bajtkowo 11","bajtkowo.pl","","","","9:00, 11:30","16:00 (latem 17:00)","","53.738800000000005,22.24750081481932","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=6"
"Parafia p.w. św. Jakuba Apostoła","16-423","Bakałarzewo","16-423 Bakałarzewo, Rynek 17","","","87 569-40-13","","8:15, 10:00, 12:00","7:30; 17:00","","54.0935272,22.65192830000001","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=8"
"Parafia p.w. św. Antoniego Padewskiego","19-520","Banie Mazurskie","19-520 Banie Mazurskie, ul. Konopnickiej 57","","","87 615 71 17","","7.30, 9:15, 10:45, 12:00","8:00; 17:00","","54.2459199,22.035922099999993","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=9"
"Parafia p.w. Najświętszej Maryi Panny Matki Kościoła","11-733","Baranowo","11-733 Baranowo, Baranowo","","","874213005","","8:00, 10:00, 12:00","","","53.3141857,20.826889700000038","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=10"
"Parafia pw. Podwyższenia Krzyża Świętego","16 - 320","Bargłów Kościelny","16 - 320 Bargłów Kościelny, Augustowska 23","barglow.diecezja.elk.pl/","","87 642 40 15","","7:45, 9:00, 10:30, 12:00","7:00; 17:00 (oprócz stycznia)","","53.83780489999999,22.848998800000004","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=31"
"Parafia p.w. Matki Bożej Częstochowskiej","16-411","Becejły","16-411 Becejły, Becejły 32","","","(87) 568-11-27","","9:00, 12:00","","","54.21988520000001,23.05122110000002","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=26"
"Parafia p.w. Wniebowzięcia Najświętszej Maryi Panny","16-505","Berżniki","16-505 Berżniki, Berżniki 47","","","875162808","","9:00, 12:00, 15:00","","","54.11063129999999,23.419135200000028","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=12"
"Parafia pw. św. Andrzeja Boboli","12-203","Biała Piska","12-203 Biała Piska, ul. Konopnickiej 3a","www.parafiabialapiska.ubf.pl/news.php","","87 423-90-46, 423-95-46","","7:30, 11:00, 12:30, 18:00","7:00; 18:00","","53.608847,22.060749999999985","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=13"
"Ośrodek duszpasterski p.w. św. Siostry Faustyny","16-311","Białobrzegi","16-311 Białobrzegi, Kolnica","","","(*87) 644-91-02","","11:00","","","53.80176640000001,22.970027500000015","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=14"
"Parafia pw. Matki Bożej Nieustającej Pomocy","19-131","Borzymy","19-131 Borzymy, Borzymy","borzymy.diecezja.elk.pl/index.php","","87 629-81-66","","9:00, 11:00","17:00","","53.816183,22.69340550000004","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=15"
"Parafia p.w. Trójcy Przenajświętszej","11-606","Budry","11-606 Budry, Konopnickiej 3","","","(087) 427-80-13","","9:00, 11:30","","","54.219618,21.738068","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=16"
"Parafia p.w. św. Jadwigi Królowej","11-500","Giżycko","11-500 Giżycko, Bystry","","","(87) 428-59-01","","13:00","","","54.03640499999999,21.766734100000008","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=17"
"Parafia p.w. św. Brata Alberta Chmielowskiego","19-300","Ełk","19-300 Ełk, Chełchy 4/12","","","(87) 621-11-50","","9:00, 13.00","17.00","","54.0349024707777,22.29766237730712","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=18"
"Parafia pw. Matki Bożej Częstochowskiej","19-411","Cichy","19-411 Cichy, Cichy 2","","","(87) 523-70-83","","8.30, 10.00, 12.00, 15.00 (w okresie letnim 18.00)","17.00, 18.00 (w okresie letnim), niedziele: 8.30, 10.00, 12.00, 15.00 (w okresie letnim 18.00)","","54.0481202,22.29397419999998","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=79"
"Parafia p.w. Matki Bożej Królowej Świata","19-405","Cimochy","19-405 Cimochy, Suwalska 10","","","(87) 521-34-26","","9:00, 11:00","","","53.9654961,22.687574499999982","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=19"
"Parafia pw. Matki Bożej Częstochowskiej","12-240","Drygały","12-240 Drygały, Sienkiewicza 14","drygaly.pl/","","","","9:00, 11:00, 13:00","","","53.683935141531634,22.106328563507077","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=22"
"Parafia p.w. św. Andrzeja Boboli","19 - 504","Dubeninki","19 - 504 Dubeninki, ul. Kajki 1","parafia.dubeninki.info/","","(87) 615-81-16","","9:15, 11:00, 12.30","17.00","","54.28866037031209,22.55886794078981","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=23"
"Parafia p.w. błog. Karoliny Kózkówny","19-300","Ełk","19-300 Ełk, Księcia Witolda 2a","elk-karolina.diecezja.elk.pl/","","(87) 621 56 73","","9:00, 12:00","8:30 lub 18:00","","53.81573119999999,22.336617199999978","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=24"
"Parafia p.w. Chrystusa Sługi","19-300","Ełk","19-300 Ełk, Grota Roweckiego 5a","milosierdzie.elk.pl/","","(087) 621-59-28","","7:00, 8:30, 10:00, 12:00, 18:00","6:30; 18:00","","53.8375326,22.364491300000054","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=25"
"Parafia p.w. Ducha Świętego","19-300","Ełk","19-300 Ełk, Kilińskiego 7","","","()87) 610-13-60 , 610-57-49","","7.00, 8.30, 9.45, 11.00, 12.15, 13.30, 18.00; święta zniesione: 7.00, 16.30, 18.00","7.00, 18.00; niedziele: 7.00, 8.30, 9.45, 11.00, 12.15, 13.30, 18.00; święta zniesione: 7.00, 16.30, 18.00","","53.81368459999999,22.35923790000004","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=27"
"Parafia p.w. Najświętszego Serca Jezusowego","19-300","Ełk","19-300 Ełk, Armii Krajowej 2","www.nsj.jupe.pl/","","(87) 621-60-10","","7:00, 8:30, 10:00, 11:30, 16:00, 18:00","6:30; 12:00; 18:00","","53.8215688,22.34831459999998","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=28"
"Parafia p.w. Najświętszej Maryi Panny Królowej Apostołów","19-300","Ełk","19-300 Ełk, Grodzieńska 6","krolowa.elk.pl/index.html","","","","9:00","","","53.8331598,22.345195200000035","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=29"
"Parafia p.w. Opatrzności Bożej","19-300","Ełk","19-300 Ełk, Suwalska 21","elk-opatrznosci-bozej.diecezja.elk.pl/","","(87) 621-43-44","","7:30, 9:30, 11:30, 18:00","","","53.8285929,22.36726269999997","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=30"
"Parafia p.w. św. Wojciecha Biskupa i Męczennika","19-300","Ełk","19-300 Ełk, Kościuszki 16","katedra.elk.pl/","","(87) 610-20-49","","7.00, 8.30, 9.45, 11.00, 12.15, 18.00, 19.30 (msza św. akademicka)","","","53.819959165427186,22.354995158964584","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=21"
"Parafia pw. Św. Jana Apostoła i Ewangelisty","19-300","Ełk","19-300 Ełk, Toruńska 1","elk-jan.diecezja.elk.pl/","","087 610 11 77","","7.30, 9.00, 11.00, 13.00, 18.00","8.00, 18.00; niedziele: 7.30, 9.00, 11.00, 13.00, 18.00","","53.8281615,22.349852000000055","http://diecezjaelk.pl/parafie.html?sobi2Task=sobi2Details&catid=2&sobi2Id=42"
