"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Kościół Bł. Doroty z Mątew ","","","80-175 GDAŃSK, ul. Kartuska 349","parafiajasien.gda.pl","pgjasien@diecezja.gda.pl","(58) 303 99 94","","","","","","http://diecezja.gdansk.pl/parafia/1"
"Kościół Bł. Edmunda Bojanowskiego i Św. Antoniego Padewskiego ","","","84-230 RUMIA, ul. Bł. Edmunda Bojanowskiego 1","ebrumia.pl","bedmru@diecezja.gda.pl","(58) 771 24 77","","","","","","http://diecezja.gdansk.pl/parafia/2"
"Kościół Bł. Michała Kozala i Bł. Ks. Jerzego Popiełuszki ","","","83-000 PRUSZCZ GDAŃSKI, ul. Orzeszkowej 5","kozal.pl","bkozalapr@diecezja.gda.pl","(58) 682 33 60","","","","","","http://diecezja.gdansk.pl/parafia/3"
"Kościół Św. Jana Pawła II ","","","80-180 GDAŃSK, ul. Jana Michonia 2","jp2.diecezja.gda.pl","jp2@diecezja.gda.pl","663432288","","","","","","http://diecezja.gdansk.pl/parafia/4"
"Kościół Bożego Ciała ","","","83-050 PRĘGOWO, ul. Kościelna 3","pregowo-parafia.net","pregowo@diecezja.gda.pl","(58) 350 80 02","","","","","","http://diecezja.gdansk.pl/parafia/5"
"Kościół Bożego Ciała ","","","84-150 HEL, ul. Wiejska 46","hel.franciszkanie.net","helbern@wp.pl","(58) 675 08 13","","","","","","http://diecezja.gdansk.pl/parafia/6"
"Kościół Bożego Ciała ","","","80-288 GDAŃSK, ul. Piecewska 9","bozecialo.info","pgmorena@diecezja.gda.pl","(58) 347 69 81","","","","","","http://diecezja.gdansk.pl/parafia/7"
"Kościół Chrystusa Dobrego Pasterza ","","","81-015 GDYNIA, ul. Lniana 19","","pasterz@diecezjagdansk.pl","(58) 623 66 15","","","","","","http://diecezja.gdansk.pl/parafia/8"
"Kościół Chrystusa Króla ","","","80-804 GDAŃSK, ul. Błog. Ks. F. Rogaczewskiego 55","chrystuskrol.diecezja.gda.pl","chryskr@diecezja.gda.pl","(58) 302 14 23","","","","","","http://diecezja.gdansk.pl/parafia/9"
"Kościół Chrystusa Króla ","","","81-506 GDYNIA, ul. Halicka 6a","chrystuskrolkack.pl","pgmkack@diecezja.gda.pl","(58) 622 23 52","","","","","","http://diecezja.gdansk.pl/parafia/10"
"Kościół Chrystusa Króla i Błog. Alicji Kotowskiej ","","","84-200 WEJHEROWO, ul. Narutowicza 2","chrystus.wejherowo.parafia.info.pl","chrysw@diecezja.gda.pl","(58) 778","","","","","","http://diecezja.gdansk.pl/parafia/11"
"Kościół Chrystusa Miłosiernego ","","","81-456 GDYNIA, ul. Kopernika 75","parafiaredlowo.pl","redlowo@diecezjagdansk.pl","(58) 622 43 28","","","","","","http://diecezja.gdansk.pl/parafia/12"
"Kościół Chrystusa Odkupiciela ","","","80-340 GDAŃSK, ul. Gdyńska 8","odkupiciel.net.pl","odkupiciel@diecezjagdansk.pl","(58) 557 93 51","","","","","","http://diecezja.gdansk.pl/parafia/13"
"Kościół Chrystusa Zbawiciela ","","","80-299 GDAŃSK, ul. Pegaza 15","zbawiciel.gda.pl","zbawiciel@diecezjagdansk.pl","(58) 552 70 45","","","","","","http://diecezja.gdansk.pl/parafia/14"
"Kościół Ducha Świętego i św. Katarzyny Aleksandryjskiej ","","","81-113 GDYNIA, ul. Zielona 11 D","duchaobluze.diecezja.gda.pl","duchaobl@diecezja.gda.pl","(58) 625 92 81","","","","","","http://diecezja.gdansk.pl/parafia/15"
"Kościół Macierzyństwa NMP ","","","83-047 JODŁOWNO, ul. Kasztanowa 4","","jodlowno@diecezjagdansk.pl","(58) 682 52 95","","","","","","http://diecezja.gdansk.pl/parafia/16"
"Kościół Matki Boskiej Bolesnej ","","","80-759 GDAŃSK, ul. Głęboka 1","mbbolesna.pl","mbbol@diecezjagdansk.pl","(58) 301 57 86","","","","","","http://diecezja.gdansk.pl/parafia/17"
"Kościół Matki Boskiej Bolesnej ","","","81-514 GDYNIA, ul. Ks. S. Zawackiego 4","parafia-orlowo.pl","orlowo@diecezja.gda.pl","(58) 664 96 21","","","","","","http://diecezja.gdansk.pl/parafia/18"
"Kościół Matki Boskiej Częstochowskiej ","","","80-213 GDAŃSK, ul. Skłodowskiej Curie 3 B","mbc.pallotyni.com","mbczestw@diecezja.gda.pl","(58) 341 67 14","","","","","","http://diecezja.gdansk.pl/parafia/19"
"Kościół Matki Boskiej Częstochowskiej ","","","83-020 KIEZMARK, (do koresp.: Cedry Małe, ul. Kościelna 2)","","kiezmark@diecezja.gda.pl","(58) 683 65 55","","","","","","http://diecezja.gdansk.pl/parafia/20"
"Kościół Matki Boskiej Fatimskiej ","","","84-200 KĄPINO, ul. Wiejska 39","kapino.diecezja.gda.pl","parafiakapino@wp.pl","504 316 023","","","","","","http://diecezja.gdansk.pl/parafia/21"
"Kościół Matki Boskiej Fatimskiej ","","","83-047 NOWA WIEŚ PRZYWIDZKA, ul. Piastowska 33","","mbfatnwp@diecezja.gda.pl","(58) 691 50 84","","","","","","http://diecezja.gdansk.pl/parafia/22"
"Kościół Matki Boskiej Królowej Polski ","","","84-217 ŁEBNO, ul. Kartuska 6","","lebno@diecezjagdansk.pl","(58) 676 18 01","","","","","","http://diecezja.gdansk.pl/parafia/23"
"Kościół Matki Boskiej Królowej Polski ","","","84-110 TYŁOWO, ul. Wejherowska 24","tylowo.diecezja.gda.pl","tylowo@diecezjagdansk.pl","(58) 673 72 13","","","","","","http://diecezja.gdansk.pl/parafia/24"
"Kościół MB Licheńskiej Bolesnej Król. Polski i Św. Jerzego ","","","81-197 GDYNIA, ul. Rybaków 1A","","lichenska@gmail.com","795 589 707","","","","","","http://diecezja.gdansk.pl/parafia/25"
"Kościół Matki Boskiej Nieustającej Pomocy ","","","80-257 GDAŃSK, ul. J. Słowackiego 79","","bretowo@diecezjagdansk.pl","(58) 342 59 73","","","","","","http://diecezja.gdansk.pl/parafia/26"
"Kościół Matki Boskiej Nieustającej Pomocy ","","","84-241 GOŚCICINO, ul. Słoneczna 17 A","","goscicino@diecezjagdansk.pl","(58) 672 81 36","","","","","","http://diecezja.gdansk.pl/parafia/27"
