"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Kościół rektoralny św. Marka Ewangelisty","","","ul. św. Marka 10, 31-012 Krakow","www.swietymarek.pl",""," 12 429 54 04","","9:00 , 10:15, 11:30, 15:30, 19:00 ","","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/kosciolrektoralny-sw-marka-ewangelisty.html"
"Parafia Greckokatolicka Podwyższenia Krzyża Świętego","","","ul. Wiślna 11, 31‑007 Krakow","www.krakow.cerkowgr.pl","krakow@cerkowgr.pl","+ 48 12 429 28 61","ks. mgr lic. Piotr Pawliszcze,&nbsp;","10:00 ","","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-greckokatolicka-podwyzszenia-krzyza-swietego.html"
"Parafia Nawiedzenia NMP","","","ul. Karmelicka 19, 31‑131 Krakow","www.parafia.karmelici.pl","parafia@karmelici.pl"," 12 632 67 52,  12 632 11 73, fax.  12 632 69 70","o. Roman Tupaj OC","6:00, 7:00, 8:00, 9:00, 10:00, 11:00, 12:00, 13:00, 16:30, 19:00 ","19:00  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-nawiedzenia-nmp.html"
"Parafia św. Anny","","","ul. św. Anny 11, 31-008 Krakow","www.kolegiata-anna.pl","kontakt@kolegiata-anna.pl"," 12 422 53 18, fax. 12 423 23 98","ks. prof. dr hab. Tadeusz Panuś,&nbsp;","7:30, 9:00, 10:00, 11:00, 12:00, 13:00, 19:30, 20:30, 21:30 ","19:30  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-sw-anny.html"
"Parafia św. Floriana","","","ul. Warszawska 1b, 31-155 Krakow","","kancelaria@swflorian.net"," 12 422 48 42","ks. mgr Grzegorz Szewczyk,&nbsp;","6:30, 8:00, 9:30, 11:00, 12:15, 15:15, 18:30, 20:00 ","","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-sw-floriana.html"
"Parafia Świętego Krzyża","","","ul. Świętego Krzyża 23, 31-023 Krakow","www.krzyzkrakow.pl","krzyzkrak@diecezja.krakow.pl"," 12 429 20 56, fax. w. 22","ks. mgr Paweł Kubani,&nbsp;","7:30 , 9:00, 10:30 [j. łaciński] , 12:00, 13:15, 18:00, 19:15 [j. łaciński] , 21:00 ","18:00  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-swietego-krzyza.html"
"Parafia Wniebowzięcia NMP","","","pl. Mariacki 5, 31-042 Krakow","www.mariacki.com","biuro@mariacki.com","","ks. dr Dariusz Raś","6:00, 7:00, 8:00, 9:00, 10:00, 11:15, 12:00, 13:00, 18:30 ","18:30  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-wniebowziecia-nmp.html"
"Parafia Wszystkich Świętych","","","ul. Kanonicza 11, 31‑002 Krakow","www.apostolowie.pl","parafia@apostolowie.pl"," 12 350 63 65, kancelaria wew. 101","ks. Marek Głownia","8:00, 9:30, 11:00, 12:30, 18:00 ","18:00  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/parafia-wszystkich-swietych.html"
"Kościół św. Wojciecha BM","","","31‑042 Krakow, Rynek Głowny","www.kosciolwojciecha.pl","kontakt@kosciolwojciecha.pl","","ks. mgr ","10:30, 12:15 ","","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/kosciolsw-wojciecha-bm.html"
"Wojskowa Parafia Personalna św. Agnieszki","","","ul. Dietla 30, 31‑070 Krakow","www.swagnieszka.wp.mil.pl/pl/1.html","karow_ordynariat@ordynariat.pl",".  12 455 49 42","ks. płk dr hab. Stanisław Gulak,&nbsp;","","18:00  sobota","","","http://www.diecezja.pl/parafie/lista-parafii/krakow-centrum/wojskowa-parafia-personalna-sw-agnieszki.html"
