"name","address","www","email","phone","rector","sun","week","url"
"Parafia Przemienienia Pańskiego","Biała  66b, 59-225 Chojnów","antoni.biedrzychowice.com","bogatynia1@legnica.opoka.org.pl","76/8186964","ASZURKIEWICZ Tomasz","7:30, 10:30","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100305"
"Parafia św. Antoniego","Biedrzychowice  90, 59-830 Olszyna","","","75/7221590","NOWAK Jan","9:00, 11:00","17:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100313"
"Parafia Zwiastowania Pańskiego","Bieniowice  48a, 59-216 Kunice Legnickie","antoni.biedrzychowice.com","","76/8575871","MICHALSKI Zdzisław","8.30","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100575"
"Parafia Niepokalanego Poczęcia NMP","59-920 Bogatynia, ul. Kurzańska 3","","","75/7732121","ŻAK Jan","9:00, 12:00, 20:00 (porządek zimowy: 9:00, 10:30, 12:00, 18:00)","18:00 (sobota) 9:00 w kaplicy szpitalnej: (sobota) 16:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100277"
"Parafia św. Maksymiliana M. Kolbe","59-920 Bogatynia, ul. Leona Wyczółkowskiego  35","www.bogatynia-niepok.legnica.opoka.org.pl","bogatynia1@legnica.opoka.org.pl","75/6409270","SERAFIN Robert","7:30, 10:30, 12:00, 17:00, w kaplicy, 9:00","7:00 i 17.00, w kaplicy piątek 9:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100278"
"Parafia św. Marii Magdaleny","59-916 Bogatynia, ul. Okólna  3","www.kolbe-bogatynia.pl/","parafia@kolbe-bogatynia.pl","75/7784219","LESZCZYŃSKI Aleksander","8:00, 9:30, 11:00, 17:00","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100279"
"Parafia Świętych Apostołów Piotra i Pawła","59-920 Bogatynia, ul. M. Skłodowskiej-Curie 42","","alenale@wp.pl","75/7732830","TRZÓSŁO Ryszard","7:00, 9:00, 11:00, 13:00, 18:00","17:30, 18:00 (w lipcu, sierpniu, 18:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100280"
"Parafia Chrystusa Króla","59-700 Bolesławiec, ul. Jana Pawła II 20a","","","75/7326045","GOŁĘBIOWSKI Józef","7:00, 9:00, 10:30, 12:00, 19:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100265"
"Parafia Świętych Cyryla i Metodego","59-700 Bolesławiec, ul. Krótka 1","","","75/7324214","MROSZCZAK Wojciech","7:00, 9:00, 10:30, 12:00, 13:15, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100266"
"Parafia Wniebowzięcia NMP i św. Mikołaja","59-700 Bolesławiec, ul. Kościelna 3","","","75/7322863","JAROSIEWICZ Andrzej","7:00, 8:30, 9:45, 11:00, 12:30, 13:30, 18:00","6:30, 7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100267"
"Parafia Matki Bożej Nieustającej Pomocy","59-700 Bolesławiec, pl. Zamkowy 1b","sanktuarium.boleslawiec.pl","","75/7351110","KUSIK Stanisław","7:00, 8:30, 10:00, 11:30, 13:00, 18:00,","6:30, 7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100285"
"Parafia Matki Bożej Różańcowej","59-704 Bolesławiec, ul. Ptasia 5","www.mojaparafia.info","parafia.mbnp@wp.pl","75/7347563","ADAMCZEWSKI Jerzy","8:00, 10:00, 11:30, 18:00 (czerwiec i lipiec 19:00)","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100286"
"Parafia Najświętszego Ciała i Krwi Chrystusa","59-700 Bolesławiec, ul. E. Orzeszkowej 3","www.mbr.boleslawiec.pl","","75/6444133","GIDZIŃSKI Andrzej","7:30, 9:00, 10:30, 12:00, 18:00","7:00, 18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100287"
"Parafia Najświętszego Serca Pana Jezusa","59-700 Bolesławiec, ul. Jarzębinowa 49","bozecialo.wboleslawcu.pl/","","kom. 603124751","HUPA Józef","9:00, 10:30, 12:00, 18:00 (czerwiec, lipiec, sierpień 19:00)","18:00","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100288"
"Parafia Matki Bożej Częstochowskiej","Bożejowice  24a, 59-700 Bolesławiec","www.nspj.info","proboszcz@nspj.info","kom. 515184544","SOWA Grzegorz","8:00, 11:00","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100289"
"Parafia Objawienia Pańskiego","Brennik  38, 59-511 Gierałtowiec","www.bozejowice.parafialnastrona.pl","parafiajg@wp.pl","76/8781584","TYMKÓW Tadeusz","12:00","18:00, (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100593"
"Parafia Podwyższenia Krzyża Świętego","Brunów  56, 59-140 Chocianów ","","","76/8174492","KLIM Krzysztof","8:00, 10:00","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100294"
"Parafia Matki Bożej Nieustającej Pomocy","Brzeźnik  46, 59-701 Bolesławiec","","","75/7301612","WNUK Zenon","18:00, 11:30","18:00 (porządek zimowy: 16:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100503"
"Parafia św. Jana Chrzciciela","Bukowiec, pl. Kościelny 5, 58-533 Mysłakowice","","parbrze@wp.pl","75/7183177","JURCZYK Krystian","9:00, 11:30 (Wielki Post, maj, październik, 15:00)","18:00 (porządek zimowy: 17:00)","http://www.diecezja.legnica.pl/teksty/parafie.php?n=100481"
