"name","address","www","email","phone","rector","sun","week","fest","url"
"Kościół św. Anny","Barcino 10, 77-232 Barcino","www.barcino.koszalin.opoka.org.pl","barcino@koszalin.opoka.org.pl","59 857 74 25","ks. Jacek Gierszewski","8.00, 12.30; ","według ogłoszenia","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=141"
"Kościół św. Anny","ul. Pochyła 7/40, 77-100 Bytów","dekanat:","strona WWW:","59 822 38 41","","15.00","","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=245"
"Kościół św. Stefana","pl. Wolności 8, 78-460 Barwice","www.parafia.barwice.pl/","strona WWW:","94 373 63 10","ks. Krzysztof Ziemnicki","8.00, 11.00, 12.30 (IX-VI), 18.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=1"
"Kościół św. Franciszka z Asyżu","Barzowice 45, 78-150 Darłowo","dekanat:","barzo45@wp.pl","94 314 36 63","ks. Mirosław Kosior","10.00 (wakcje 9.00); ","poniedziałek-wtorek, czwartek-sobota 16.00 (lato 17.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=50"
"Kościół Wszystkich Świętych","ul. 22 Lipca 19, Biała, 64-980 Trzcianka","www.wszyscyswiecibiala.pl","wszyscyswiecibiala@gmail.com","67 216 45 28","ks. Eugeniusz Gnibba","sobota 18.00, niedziela 8.00, 12.00; ","18.00 (IV-IX 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=202"
"Kościół Najświętszego Serca Pana Jezusa","ul. Dąbrowszczaków 5, 78-200 Białogard","www.sercebialogard.pl/","nspjbialogard@gmail.com","94 312 00 33 - proboszcz","adres email:","7.00, 8.00, 9.30, 11.00, 12.30 (IX-VI), 18.00 (VII-VIII dod. 19.30); ","18.00 (VII-VIII dod. 7.00, 9.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=19"
"Kościół Narodzenia Najświętszej Maryi Panny","ul. Najświętszej Maryi Panny 17, 78-200 Białogard","www.nmp.bialogard.koszalin.opoka.org.pl","strona WWW:","94 312 23 25 - proboszcz, 94 312 06 80 - wikariusze",", 94 312 06 80 - wikariusze","7.00, 8.30, 10.00, 11.30, 13.00, 18.00; ","7.00, 9.00 (IX-VI), 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=18"
"Kościół św. Jadwigi","ul. Świdwińska 3A, 78-200 Białogard","www.jadwiga.koszalin.opoka.org.pl","jadwigabialogard@koszalin.opoka.org.pl","94 312 05 12 - proboszcz, 94 312 05 13, 94 312 15 14 - wikariusze, 94 312 05 19 - kancelaria/fax, kom. 660 261 096",", 94 312 05 13, 94 312 15 14 - wikariusze, 94 312 05 19 - kancelaria/fax, kom. 660 261 096","9.00, 12.00, 19.00; ","środa-piątek 17.00 (lato 19.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=20"
"Kościół św. Jerzego","ul. Radomska 1B, 78-100 Kołobrzeg","dekanat:","strona WWW:","94 352 28 81","","14.30","","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=246"
"Kościół Wniebowzięcia Najświętszej Maryi Panny","Białogórzyno 14A, 78-200 Białogard","dekanat:","strona WWW:","kom. 602 271 998","ks. Marek Cieślik","9.00, 13.00; ","wtorek, środa, piątek 16.00 (lato 17.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=21"
"Kościół Najświętszej Maryi Panny Królowej Polski","pl. Jana Pawła II 1A, 78-425 Biały Bór","www.bialybor.koszalin.opoka.org.pl","bialybor@koszalin.opoka.org.pl","94 373 91 72 - kancelaria i proboszcz","adres email:","sobota 18.00, niedziela 8.00, 12.00 (VII-VIII dod. 19.00) ; ","wtorek-piątek 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=34"
"Kościół Narodzenia Najświętszej Maryi Panny","ul. Topolowa 20, 78- 425 Biały Bór","dekanat:","strona WWW:","94 373 91 81","","niedziela i święta w sobotę: 9.00; dni powszednie: 8.30 lub 17.00; (okres zimowy: 8.30 lub 16.00); święta ","9.00 i 18.15; w dni powszednie: 8.30 lub 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=247"
"Kościół Przemienienia Pańskiego","ul. Topolowa 20; 78- 425 Biały Bór","dekanat:","strona WWW:","94 373 91 81","","13.00; ","16.30","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=261"
"Kościół Chrystusa Króla","Biesiekierz 53, 76-039 Biesiekierz","parafia.biesiekierz.eu","strona WWW:","94 318 03 23","ks. Zbigniew Kukiel","10.00, 14.30; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=113"
"Kościół św. Andrzeja Boboli","Biesowice 35, 77-230 Kępice","www.parafiabiesowice.pl/","biesowice@koszalin.opoka.org.pl","59 857 78 10","ks. Bogdan Wójcik","8.00, 12.30; ","poniedziałek, środa, piątek 17.00, wtorek, czwartek 9.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=142"
"Kościół Świętej Rodziny","Bińcze 56, 77-324 Bińcze","parafia.bincze.pl","parafia.bincze@wp.pl","59 833 68 78","ks. Igor Mackiw","12.00; ","poniedziałek-środa, piątek-sobota 17.00 (IV-IX 18.00)","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=42"
"Kościół Trójcy Świętej","ul. Topolowa 20, 78- 425 Biały Bór","dekanat:","strona WWW:","94 373 91 81","","10.45","","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=248"
"Kościół Wniebowzięcia Najświętszej Maryi Panny","ul. Kościelna 1, 78-020 Bobolice","www.parafia.bobolice.pl","strona WWW:","tel. 94 318 73 29 - proboszcz, 94 318 77 01 - wikariusz",", 94 318 77 01 - wikariusz","8.00, 10.00, 11.30, 18.00; ","7.00, 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=33"
"Kościół św. Brata Alberta","al. Niepodległości 13, 78-449 Borne Sulinowo","blog.wiara.pl/Borne","parafiaborne@vp.pl","94 373 31 10","ks. Jerzy Stadnik","9.00, 10.30, 12.00, 18.00; ","18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=183"
"Kościół Matki Bożej Wspomożenia Wiernych","Broczyno, 78-550 Czaplinek","www.broczyno.parafialnastrona.pl","strona WWW:","kom. 784 037 100","ks. Jacek Maszkowski","10.30; ","wtorek-sobota 18.00","","http://www.koszalin.opoka.org.pl/new/p.php?m=6&p=12"
