"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia pw. św. Urbana","","","09-130 Baboszewo, ul. Odrodzenia 2","","baboszewo@diecezjaplocka.pl","","Stanisław Gutowski","8:00 ; 10:00 ; 11:45 ; 17:00","7:00 ; 17:00 lub 18:00","","52.6815453,20.258606","http://diecezjaplocka.pl/parafie/baboszewo-sw-urbana"
"Parafia pw. św. Szczepana","","","09-414 Brudzeń Duży, ul. Jana Pawła II 22","","badkowo@diecezjaplocka.pl","","Jan Zega","8:30 ; 10:30 kaplice; 12:00 ; 17:00","18:00 ; 18:30","","52.67474,19.5041981","http://diecezjaplocka.pl/parafie/badkowo-koscielne-sw-szczepana"
"Parafia pw. św. Jadwigi Śląskiej","","","09-411 Biała k. Płocka, Stara Biała 64","","biala@diecezjaplocka.pl","","Jan Deptuła","8:00 ; 10:00 ; 12:00 ; 17:00","17:00","","52.6081,19.6495457","http://diecezjaplocka.pl/parafie/biala-sw-jadwigi-slaskiej"
"Parafia pw. św. Jana Chrzciciela","","","09-230 Bielsk, Plac Wolności 20","","bielsk@diecezjaplocka.pl","","J&#243;zef Kazimierz R&#243;żański","9:00 ; 10:30 ; 12:00 ; 16:00","17:00 ; 18:00","","52.6714478,19.8043976","http://diecezjaplocka.pl/parafie/bielsk-sw-jana-chrzciciela"
"Parafia pw. św. Stanisława Biskupa i Męczennika","","","09-320 Bieżuń, ul. Nowy Rynek 8","","biezun@diecezjaplocka.pl","","Tomasz Ozimkowski","8:00 ; 9:30 ; 11:15 ; 16:00","7:00 ; 17:00","","52.9581146,19.8923073","http://diecezjaplocka.pl/parafie/biezun-sw-stanislawa-biskupa-i-meczennika"
"Parafia pw. św. Anny","","","09-452 Blichowo, Blichowo 57","","blichowo@diecezjaplocka.pl","","Włodzimierz Dzieńkowski","9:00 ; 11:30 ; 16:00","7:30 lub 17:00 lub 18:00","","52.5535545,20.01008","http://diecezjaplocka.pl/parafie/blichowo-sw-anny"
"Parafia pw. Wniebowzięcia Najświętszej Marii Panny","","","09-470 Bodzanów, Pl. Kościuszki 1","","bodzanow@diecezjaplocka.pl","","Tomasz Mazurowski","8:00 ; 10:00 ; 12:00 ; 17:00","18:00","","52.4995766,20.02932","http://diecezjaplocka.pl/parafie/bodzanow-wniebowziecia-najswietszej-marii-panny"
"Parafia pw. św. Jana Ewangelisty","","","06-300 Przasnysz, Bogate","","bogate@diecezjaplocka.pl","","Cezary Olzacki","8:30 ; 10:00 ; 12:00","16:30 ; 17:00","","52.9546967,20.9907532","http://diecezjaplocka.pl/parafie/bogate-sw-jana-ewangelisty"
"Parafia pw. św. Doroty","","","06-521 Wiśniewo, Bogurzyn","","bogurzyn@diecezjaplocka.pl","","J&#243;zef Gałązka","8:00 ; 9:30 ; 11:30","17:00 lub 18:00","","53.0467758,20.275423","http://diecezjaplocka.pl/parafie/bogurzyn-sw-doroty"
"Parafia pw. św. Stanisława Biskupa i Męczennika","","","09-213 Gozdowo, Bonisław","","bonislaw@diecezjaplocka.pl","","Franciszek Antoni Kuć","8:30 ; 10:00 kaplica; 12:00","17:00","","52.7166328,19.751646","http://diecezjaplocka.pl/parafie/bonislaw-sw-stanislawa-biskupa-i-meczennika"
"Parafia pw. św. Apolonii","","","09-200 Sierpc, Borkowo","","borkowo@diecezjaplocka.pl","","Marian Łuniewski","8:00 ; 9:30 ; 11:30","8:00 ; 16:00 czas zimowy; 18:00 czas letni","","52.840435,19.713377","http://diecezjaplocka.pl/parafie/borkowo-sw-apolonii"
"Parafia pw. św. Jakuba","","","","","bozewo@diecezjaplocka.pl","","Andrzej Feliks Świderski","8:00 ; 10:00 ; 11:30","16:00 czas zimowy; 17:00 czas letni","","52.71853,19.55972","http://diecezjaplocka.pl/parafie/bozewo-sw-jakuba"
"Parafia pw. św. Andrzeja Apostoła","","","09-400 Płock, Brwilno 45","","brwilno@diecezjaplocka.pl","","Henryk Lipka","8:00 kaplica; 9:00 ; 11:00 ; 16:00 ; 17:15 ; 17:00 czas zimowy; 18:00 czas letni","16:00 czas zimowy","","52.5682831,19.5867825","http://diecezjaplocka.pl/parafie/brwilno-sw-andrzeja-apostola"
"Parafia pw. Tr&#243;jcy Świętej","","","09-454 Bulkowo, ul. Płocka 1","","bulkowo@diecezjaplocka.pl","","Stanisław Wiesław Sadłowski","8:30 ; 10:30","7:30 ; 16:00 czas zimowy; 18:00 czas letni","","52.5418,20.1177349","http://diecezjaplocka.pl/parafie/bulkowo-trojcy-swietej"
"Parafia pw. św. Floriana","","","09-300 Żuromin, ul. Mazowiecka 35","","chamsk@diecezjaplocka.pl","","Księża mieszkający w parafii","9:00 ; 11:00 ; 16:00","16:00 czas zimowy; 17:00","","53.0223961,19.9295025","http://diecezjaplocka.pl/parafie/chamsk-sw-floriana"
"Parafia pw. św. Leonarda","","","09-150 Czerwińsk, Chociszewo 43","","chociszewo@diecezjaplocka.pl","","Jerzy Antoni Zdunkiewicz","9:00 ; 11:00","17:00","","52.3157,15.75036","http://diecezjaplocka.pl/parafie/chociszewo-sw-leonarda"
