"name","address","www","email","phone","rector","sun","week","fest","url"
"Parafia pw. św. Andrzeja Ap.","62-053 Iłówiec 14","www.ilowiec.archpoznan.pl","ilowiec@archpoznan.pl","61 282-61-29","ks. Stanisław  Wiatrowski","sobota godz. 17.30 (pora letnia 18.30); niedziela: godz. 8.30, godz. 11.00","godz. 18.30 (pora zimowa godz. 17.30)","godz. 10.00, godz. 18.30 (pora zimowa 17.30)","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=309"
"Parafia pw. św. Katarzyny","63-012 Bagrowo","www.bagrowo.maczniki.pl","","61 285-25-47","","Mączniki godz. 8.00, godz. 11.30; Bagrowo godz. 10.00","Mączniki godz. 18.00","Mączniki godz. 18.00; Bagrowo godz. 16.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=350"
"Parafia pw. św. Józefa Oblubieńca NMP","62-081 Baranowo, ul. Spokojna 63/65","www.parjozef.org","par_jozef@poczta.onet.pl","61 816-12-48","ks. Andrzej  Strugarek","sobota: 18:30; niedziela: 9:00, 12:00; Chyby 10:30","18:30, z wyjątkiem czwartku 8:00 (w okresie wiosenno-letnim), 9:00 (w okresie jesienno-zimowym)","9:00, 19:00; Chyby 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=282"
"Parafia pw. Matki Boskiej Pocieszenia","64-010 Krzywiń, Bielewo 52","","","65 517-72-57","ks. Tadeusz  Maćkowiak","8:00, 11:00; Stankowo 9:30","18:30 - czas letni, 18:00 - czas zimowy","11:00, 18:30; Stankowo 17:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=125"
"Parafia pw. Świętego Krzyża i św. Mikołaja","64-510 Biezdrowo 3","www.parafia-biezdrowo.pl","kancelaria@parafia-biezdrowo.pl","67 254-72-01","ks. Stanisław  Wawrzyniak","7.30, 10.30; w Wartosławiu 9.00","poniedziałek 7.30, wtorek, środa, piątek i sobota o 18.00, w czwartek w Wartosławiu o 16.30","10.30 i 18.00 w Biezdrowie, 16.30 w Wartosławiu","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=398"
"Parafia pw. NMP Nieustającej Pomocy","62-007","","","61 815-55-40","Kurpisz Tadeusz","","","","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=1207"
"Parafia pw. św. Jakuba Ap.","63-140 Błażejewo 27","","henkshschw@wp.pl","61 282-52-66","ks. Henryk  Schwanke COr.","8:00, 11:00","od Wielkiego Tygodnia do I niedzieli października 19:00, pozostała część roku 18:00","od Wielkiego Tygodnia do I niedzieli października 19:00, pozostała część roku 18:00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=362"
"Parafia pw. św. Michała Archanioła","63-111 Błociszewo, ul. Kasztanowa 2","www.blociszewo.archpoznan.pl","","61 670-02-62","ks. Sławomir  Ratajczak","godz. 8.00, godz. 10.00, godz. 11.30","godz. 18.30 (w czasie zimowym godz. 17.00)","godz. 9.30, godz. 18.30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=361"
"Parafia pw. św. Wojciecha","62-036 Bnin, ul. Kościelna 9","","","61 817-01-25","ks. Franciszek  Sikora","godz. 7.30, godz. 9.30, godz. 11.15, godz. 18.00","godz. 7.00, godz. 18.00","godz. 7.00,godz. 10.15, godz. 18.00","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=107"
"Parafia pw. Najświętszego Serca Jezusa","63-940 Bojanowo Pozn., ul. Marcinkowskiego 4","www.bojanowopoznanskie.archpoznan.pl","bojanowopoznanskie@archpoznan.pl","65 545-62-42","ks. Wojciech  Rzeźnik","7.00, 9.00, 11.00, 18.00; Golina Wielka: 8.00; Trzebosz: 10.00; Pakówka &#8211; DPS: sobota 16.00","od 01 kwietnia do 30 września o godz. 9.00 i 18.30; od 01 października do 31 marca o godz. 9.00 i 18.00","Bojanowo: 7:00, 9:00, 16:00, 18:00; Golina Wielka: 17:00; Trzebosz : 15:30","http://www.archpoznan.pl/index2.php?option=com_contact&task=view&contact_id=292"
