"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Narodzenia NMP","37-122","ALBIGOWA","37-122 ALBIGOWA, Albigowa 844","","","17 226 71 93","","7.30; 9.00; 11.00; 17.00","","","",""
"Trójcy Przenajświętszej","37-754","BABICE","37-754 BABICE, Babice 54","","","16 671 12 12","","7.30; 11.45","","","",""
"św. Wojciecha","36-068","BACHÓRZ","36-068 BACHÓRZ, Bachórz 72","","","16 652 24 00","","7.30; 11.00","","","",""
"św. Katarzyny ","37-750","DUBIECKO","37-750 DUBIECKO, Bachórzec 72","","","16 651 24 90","","7.30; 11.00","","","",""
"Niepokalanego Poczęcia NMP","38-606","BALIGRÓD","38-606 BALIGRÓD, ul. Kazimierza Wielkiego 27","","","13 468 45 50","","7.30; 10.30; 16.00 (lipiec i sierpień. 7.00; 11.00; 16.00)","","","",""
"św. Bartłomieja","36-065","DYNÓW","36-065 DYNÓW, Bartkówka 113a","","","16 652 19 06","","8.00; 10.30","","","",""
"św. Józefa","36-230","DOMARADZ","36-230 DOMARADZ, Barycz 196","","","13 434 73 81","","7.30; 10.30; 15.30","","","",""
"Wniebowzięcia NMP","38-610","POLAŃCZYK","38-610 POLAŃCZYK, Berezka 41 B","","","13 493 08 15","","11.00","","","",""
"Podwyższenia Krzyża Świętego","38-524","BESKO","38-524 BESKO, ul. Kościelna 4","","","13 467 30 17","","7.30; 9.15; 11.00; 16.30","","","",""
"Narodzenia NMP","38-600","LESKO","38-600 LESKO, Bezmiechowa Górna 20","","","13 469 13 13","","7.30; 11.00","","","",""
"Najświętszego Serca Pana Jezusa","37-114","BIAŁOBRZEGI","37-114 BIAŁOBRZEGI, Białobrzegi 30","","","17 224 52 21","","7.00; 9.00; 10.30; 16.00","","","",""
"św. Stanisława Kostki","37-740","BIRCZA","37-740 BIRCZA, ul. Jana Pawła II 12","","","16 672 50 23","","8.00; 9.30; 11.00; 16.00","","","",""
"Wszystkich Świętych","36-221","BLIZNE","36-221 BLIZNE, Blizne 436","","","13 430 56 00","","7.00; 9.00; 11.00; 15.00","","","",""
"Narodzenia NMP","37-722","WYSZATYCE","37-722 WYSZATYCE, Bolestraszyce 157","","","16 671 64 81","","7.30; 9.00; 11.00","","","",""
"św. Marcina","37-561","CHŁOPICE","37-561 CHŁOPICE, Boratyn 64","","","16 622 22 56","","8.00; 11.00","","","",""
"św. Piotra i Pawła","36-020","TYCZYN","36-020 TYCZYN, Borek Stary 337","","","17 229 80 87","","7.00; 9.00; 11.00; 16.00","","","",""
"Najświętszego Serca Pana Jezusa","37-751","ŻOHATYN","37-751 ŻOHATYN, Borownica 32","","","16 672 57 44","","12.00","","","",""
"Matki Bożej Różańcowej","38-700","USTRZYKI DOLNE","38-700 USTRZYKI DOLNE, Brzegi Dolne 139","","","13 461 13 44","","7.30; 11.00","","","",""
