"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Dobrego Pasterza","","","Babica 304, 38-120 Czudec","www.parafiababica.pl","","17 277 27 17","Ks. mgr lic. Krzysztof Nogaj","Wielki Post, maj, październik, 8.00; 10.00; 15.00; lato 7.00; 9.00; 11.00;","lato 18.00; zima 17.00","","49.86597592118758,21.8554105421523","http://www.diecezja.rzeszow.pl/2015/04/babica/"
"Nawiedzenia NMP","","","Baryczka 207,, 
38-115 Połomia, tel. 17 277 31 79","o","","17 277 31 79","Ks. mgr Jerzy Gajda","Wlk.Post, maj, październik, 7.30, 10.30, 15.00; , 7.30, 10.30","zima 17.00; lato 18.30","","","http://www.diecezja.rzeszow.pl/2015/04/baryczka-2/"
"Imienia Maryi","","","Bączal Dolny 97, 38-242 Skołyszyn","parafia.baczaldolny.prv.pl","","13 449 31 82","Ks. mgr lic. Krzysztof Wymazała"," 8.30; 11.00; 16.00","zima 17.00; lato 18.00;","","","http://www.diecezja.rzeszow.pl/2015/04/baczal-dolny/"
"Św. Jacka","","","Będziemyśl 174, 39-127 Będziemyśl","","","17 745 58 58","Ks. mgr Ryszard Polański","od II niedz miesiąca, 8.00, 11.00, 16.00; I niedz miesiąca, 8.00, 9.30, 11.00","zima 7.00 lub 17.00; lato 7.00 lub 18.00","","50.0555481,21.780687999999998","http://www.diecezja.rzeszow.pl/2015/05/bedziemysl/"
"Bożego Ciała","","","ul. Kromera 16a, 38-340 Biecz","www.fara.biecz.pl","","13 447 10 17","Ks. dr Władysław Kret","","","","https://www.google.pl/maps?f=q&amp;source=embed&amp;hl=pl&amp;geocode=&amp;q=Biecz,+ul.+Kromera+16+a&amp;aq=&amp;sll=49.606045,21.459713&amp;sspn=0.094112,0.114155&amp;ie=UTF8&amp;hq=&amp;hnear=Kromera+16,+38-340+Biecz&amp;ll=49.730507,21.247729&amp;spn=0.011734,0.014269&amp;t=m&amp;z=14&amp;layer=c&amp;cbll=49.730544,21.2478&amp;panoid=phqeaO1Nt9rKRPyaTsTSWA&amp;cbp=12,255.08,,0,2.71&amp;output=svembed","http://www.diecezja.rzeszow.pl/2015/04/biecz-fara/"
"św. Anny","","","ul. Kazimierza Wlk. 2, 38-340 Biecz","www.biecz.ofm.krakow.pl","biecz.ofm@krakow.pl","13 447 18 44","O.  Tomasz Kupczakiewicz OFM"," 7.00, 8.30, 10.00, 11.30, 16.30"," 7.00, 7.30, 8.00, 18.00","","https://www.google.pl/maps?f=q&amp;source=s_q&amp;hl=pl&amp;geocode=&amp;q=Biecz,+ul.+Kazimierz+Wielkiego+2+ko%C5%9Bci%C3%B3%C5%82&amp;aq=&amp;sll=49.731456,21.254275&amp;sspn=0.011678,0.014269&amp;ie=UTF8&amp;hq=Biecz,+ul.+Kazimierz+Wielkiego+2+ko%C5%9Bci%C3%B3%C5%82&amp;ll=49.731592,21.255867&amp;spn=0.005839,0.007135&amp;t=m&amp;z=14&amp;iwloc=A&amp;cid=826302008963969446&amp;output=embed","http://www.diecezja.rzeszow.pl/2015/04/biecz-sw-anny-2/"
"Świętej Trójcy","","","Bieździedza 51A, 38-214 Bieździedza","","biezdziedza@rzeszow.opoka.org.pl","13 442 66 45","Ks. Władysław Depa"," 7.00, 9.00, 11.00, 18.00 (17.00)"," 7.00, 18.00 (17.00)","","","http://www.diecezja.rzeszow.pl/2015/04/biezdziedza/"
"Św. Michała Archanioła","","","Binarowa 409, 38-340 Biecz","binarowa.wiara.org.pl/","parafia@binarowa.wiara.org.pl","13 447 63 96","Ks. mgr Bogusław Jurczak"," 7.30, 9.00, 11.00, 15.00 (W czasie Wielkiego Postu)"," 7.00 lub 18.00(17.00)","","","http://www.diecezja.rzeszow.pl/2015/04/binarowa/"
"Podwyższenia Krzyża Świętego","","","Blizianka 42, 38-114 Niebylec","www.parafia-blizianka.webd.pl","henma@interia.pl","17 277 31 00","Ks. mgr Henryk Mazur"," 8.00, 10.30","zima 17.00; lato 18.00","","","http://www.diecezja.rzeszow.pl/2015/04/blizianka/"
"Matki Bożej Nieustającej Pomocy","","","Błażkowa 126b, 38-212 Brzyska","","","13 446 01 40","Ks. mgr Władysław Pykosz"," 7.00, 9.00, 11.00","zima, 17,00; wiosna, lato, jesień, 18.00","","","http://www.diecezja.rzeszow.pl/2015/04/blazkowa/"
"Matki Bożej Królowej Polski","","","Błędowa Tyczyńska 42, 36-017 Błędowa Tyczyńska","","","17 229 65 99","Ks. dr Zbigniew Kosik","Wlk. Post, V, VI, X, XI,, 7.30, 10.30, 14.30","zima 17.00; lato 19.00","","49.9599529,22.178396199999998","http://www.diecezja.rzeszow.pl/2015/05/bledowa-tyczynska/"
"Św. Wojciecha","","","Błędowa Zgłobieńska 107, 36-071 Trzciana","","","17 851 43 45","Ks. mgr Mariusz Matuszewski"," 8.30, 10.30"," 18.00 (17.00)","","50.03722630000001,21.838871100000002","http://www.diecezja.rzeszow.pl/2015/05/bledowa-zglobienska/"
