"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url","about"
"Babinek Kościół filialny pw św. Anny","","Babinek","74-120 WIDUCHOWA","","robg5@interia.pl","91/416-71-52, kom. 608 59 53 55"," Robert  Gołębiowski","11:15,","Cz. 17:00,; ","","53.13676,14.54795","http://szczecin.kuria.pl/wspolnoty/koscioly/Babinek-Kosciol-filialny-pw-sw-Anny_26","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/babinek.jpg"
"Kościół parafialny pw MB Wspomożenia Wiernych","","Banie","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","8:30,, 11:30,, 18:00,","7:30, 18:00,","","53.102,14.6548","http://szczecin.kuria.pl/wspolnoty/koscioly/Banie-Kosciol-parafialny-pw-MB-Wspomozenia-Wiernych_1","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/banie_kosciol.jpg"
"Bolkowice Kościół filialny","","Bolkowice","74-120 WIDUCHOWA","","robg5@interia.pl","91/416-71-52, kom. 608 59 53 55"," Robert  Gołębiowski","","So. 16:00, - zimą, 18:00, - latem; ","","53.13231,14.45504","http://szczecin.kuria.pl/wspolnoty/koscioly/Bolkowice-Kosciol-filialny-_27","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/l03_b26_1.jpg"
"Czarnowo Kościół filialny pw Ducha Świętego","","Czarnowo","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","09:45,","Śr. 17:00,; ","","53.13453603,14.74986433","http://szczecin.kuria.pl/wspolnoty/koscioly/Czarnowo-Kosciol-filialny-pw-Ducha-Swietego_5","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/PICT5520.jpg"
"Czarnówko Kościół filialny pw św. Józefa","","Czarnówko","74-120 WIDUCHOWA","","robg5@interia.pl","91/416-71-52, kom. 608 59 53 55"," Robert  Gołębiowski","10:15,","Cz. 16:00,; ","","53.14823,14.50847","http://szczecin.kuria.pl/wspolnoty/koscioly/Czarnowko-Kosciol-filialny-pw-sw-Jozefa_25","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/czarnwko.jpg"
"Dłusko Kościół filialny","","Dłusko","74-110 BANIE","","","91/416-68-25"," Stanisław  Kąkol","","Cz. 18:00,; ","","53.02241,14.67567","http://szczecin.kuria.pl/wspolnoty/koscioly/Dlusko-Kosciol-filialny-_30","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/s17_d26.jpg"
"Górnowo Kościół filialny pw Najświętszego Serca Pana Jezusa","","Górnowo","ul. Bolesława Chrobrego 5, 74-110 BANIE","","","91/416-63-46"," Zenon  Mach","09:00,","Pt. 16:30,; ","","53.0467,14.6741","http://szczecin.kuria.pl/wspolnoty/koscioly/Gornowo-Kosciol-filialny-pw-Najswietszego-Serca-Pana-Jezusa_2","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/b01_g43_1.jpg"
"Kościół parafialny pw św. Antoniego","","Grzybno","74-500 CHOJNA","","","91/414-77-48"," Daniel  Klich","8:30, 12:30,","Pn. 18:00,; Wt. 18:00,; So. 9:00,; ","","53.01803,14.56031","http://szczecin.kuria.pl/wspolnoty/koscioly/Grzybno-Kosciol-parafialny-pw-sw-Antoniego_8","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g16_41.jpg"
"Kamienny Jaz Kościół filialny","","Kamienny Jaz","74-500 CHOJNA","","","91/414-77-48"," Daniel  Klich","10:00,","Cz. 18:00,; Pt. 18:00,; ","","52.98363,14.5416","http://szczecin.kuria.pl/wspolnoty/koscioly/Kamienny-Jaz-Kosciol-filialny-_9","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/g16_k33.jpg"
"Kłodowo Kościół filialny","","Kłodowo","ul. Królewiecka 37, 74-121 KRZYWIN GRYFIŃSKI","","","91/416-75-10"," Jan  Karwath","09:00,","Śr. 17:00,; ","","53.09161,14.49813","http://szczecin.kuria.pl/wspolnoty/koscioly/Klodowo-Kosciol-filialny-_16","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k18_k41.jpg"
"Kościół parafialny pw św. Stanisława BM","","Kozielice","74-204 KOZIELICE","","","91/563-03-81"," Władysław  Kołtowski","8:30, , 13:00,","Pn. 8:30,; Śr. 17:00, - zimą, 18:00, - latem; Pt. 17:00, - zimą, 18:00, - latem; So. 16:00, - zimą, 17:00, - latem; ","","53.10716,14.82072","http://szczecin.kuria.pl/wspolnoty/koscioly/Kozielice-Kosciol-parafialny-pw-sw-Stanislawa-BM_11","http://szczecin.kuria.pl/clients/_kuria/_upload/_cache/clients/_kuria/_upload/_koscioly/655x450_wymuszony/k13_48.jpg"
