"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Świętych Kosmy i Damiana MM","","38-313 Śnietnica","Banica 35,, 38-313 Śnietnica","www.parafiabanica.pl","banica@diecezja.tarnow.pl","18 35-16-524","ks. mgr Tadeusz Świderski","8:00, 11:00, Izby 9:30","7:00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/84-informacje-o-parafiach-w-diecezji/b/736-banica"
"Najśw. Maryi Panny Wniebowziętej","","33-342 Barcice 27","33-342 Barcice 27","http://www.barcice.diecezja.tarnow.pl","barcice@diecezja.tarnow.pl","18 44-66-016","ks. mgr Andrzej Kędryna","7:00, 9:00, 10:30, 12:00, 18:00 (17:00 - czas zimowy)","6:30, 18:00 (17:00 - czas zimowy)","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/735-barcice"
"Matki Bożej Nieustającej Pomocy","","33-380 Krynica-Zdrój, Berest 22,","33-380 Krynica-Zdrój, Berest 22,","","berest@diecezja.tarnow.pl","18 47-11-776","ks. mgr Stanisław Kądziołka","7:15, 11:00, Polany 9:30","7:10, śr., pt. 18:00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/734-berest"
"Najświętszego Serca Pana Jezusa","","32-828 Biadoliny Szlacheckie,","Biadoliny Radłowskie 283, 32-828 Biadoliny Szlacheckie,","http://www.biadoliny.diecezja.tarnow.pl","biadoliny@diecezja.tarnow.pl","14 679-15-25","ks. mgr Antoni Gieroń","7:30, 9:30, 11:00, 16:00, ","6:30, 18.00, od X do IV Msza św. z 18.00 przeniesiona na godz.17.00",": 7:30, 10:00, 18:00","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/733-biadoliny"
"Matki Bożej Różańcowej","","Biała Niżna 394, 33-330 Grybów,","Biała Niżna 394, 33-330 Grybów,","","biala_nizna@diecezja.tarnow.pl","18- 44-50-517","ks. Tadeusz Skwarek SAC","7:00, 9:00, 11:00, 15:30","7:00, 18:00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/732-biala-nizna"
"Matki Bożej Anielskiej","","32-824 Bielcza 47,","32-824 Bielcza 47,","http://www.bielcza.diecezja.tarnow.pl","bielcza@diecezja.tarnow.pl","14- 68-47-650","ks. mgr lic. Tadeusz Kubala","7:30, 10:30, 17:00","6:30, 18:30 (17:00)","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/731-bielcza"
"Św. Mateusza Ap. Ew.","","Biesiadki 16, 32-864 Gnojnik,","Biesiadki 16, 32-864 Gnojnik,","","biesiadki@diecezja.tarnow.pl","14-68-60-194","Ks. mgr Kazimierz Sroka","7:00, 9:30, 11:00","7:00, nadto śr., pt. 18:00 (czas zimowy 17:00)","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/730-biesiadki"
"św. Stanisława BM","","Binczarowa 27, 33-332 Florynka,","Binczarowa 27, 33-332 Florynka,","","binczarowa@diecezja.tarnow.pl","18-44-71-613","ks. mgr Zdzisław Jewiarz SCJ","7:30, 9:15, 11:00, nieszpory 15:00","7:00, 18:00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/729-binczarowa"
"Najśw. Maryi Panny Częstochowskiej","","Biskupice Radłowskie 274, 33-130 Radłów,","Biskupice Radłowskie 274, 33-130 Radłów,","http://www.biskupice_radlowskie.diecezja.tarnow.pl","biskupice_radlowskie@diecezja.tarnow.pl","14- 67-81-598","ks. mgr Grzegorz Żyrkowski","7:30, 10:00, 16:00","7:00, 18:00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/728-biskupice-radlowskie"
"Wszystkich świętych","","38-350 Bobowa 20,","38-350 Bobowa 20,","http://www.parafia.bobowa.pl","bobowa_par@diecezja.tarnow.pl","18- 35-14-062","Ks. mgr Marian Jedynak","7.00, 8.30, 10.00, 11.30, 14.00, 17.00","6.00, 6.30, 18.00 (w zimie 17.00), w wakacje 6.15, 18.00","","","http://www.diecezja.tarnow.pl/index.php/schematyzm/b/726-bobowa"
