"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Świętego Augustyna i Świętej Anny","","Babiak","Babiak 17, 11-100 Lidzbark Warmiński ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 766 14 21 ","ks. mgr Sławomir Wiśniewski ","11:00; 13:00; 14:00 - w soboty","18:00","","","http://archwarmia.pl/parafie/parafie/babiak-parafia-swietego-augustyna-i-swietej-anny/"
"Parafia Świętych Apostołów Szymona i Judy Tadeusza","","Runowo","Babiak 17, 11-100 Lidzbark Warmiński ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 766 14 21 ","ks. mgr Sławomir Wiśniewski ","09:00; 15:00","16:00","","","http://archwarmia.pl/parafie/parafie/runowo-parafia-swietych-apostolow-szymona-i-judy-tadeusza/"
"Parafia Najświętszego Serca Pana Jezusa","","Barciany","ul. Mickiewicza 4, 11-410 Barciany ","olsztyn.radioplus.pl/","juliuszczapiewski@wp.pl","89 753 11 13 ","ks. mgr Juliusz Czapiewski ","09:00; 11:00; 17:00 - od października do kwietnia; 18:00 - od maja do września","07:00; 17:00 - od października do kwietnia; 18:00 - od maja do września","","","http://archwarmia.pl/parafie/parafie/barciany-parafia-naj-wi-tszego-serca-pana-jezusa/"
"Parafia Świętego Wawrzyńca","","Barczewko","Barczewko 61, 11-010 Barczewo ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 514 15 27 ","ks. kan. Antoni Górzyński ","08:30; 11:30; 10:00","17:00","","","http://archwarmia.pl/parafie/parafie/barczewko-parafia-swietego-wawrzynca/"
"Parafia Świętego Andrzeja Apostoła","","Barczewo","ul. Plac Batorego 1 A, 11-010 Barczewo ","www.ofmbarczew.cal24.pl","kuriaol@olsztyn.opoka.org.pl","89 514 82 65 ","o. Dawid Szulca OFM ","08:00; 09:30; 12:00; 17:00; 10:30","08:00; 17:00","","","http://archwarmia.pl/parafie/parafie/barczewo-parafia-swietego-andrzeja-apostola/"
"Parafia Świętej Anny","","Barczewo","ul. Nowowiejskiego 4, 11-010 Barczewo ","www.swanna.barczewo.pl","m.paszkowski@net.macrosat.pl","89 514 83 34 ","ks. kan. mgr lic. Marek Paszkowski ","08:00; 10:00; 11:30; 18:00; 07:00; 08:45","07:00; 18:00; 07:15","","","http://archwarmia.pl/parafie/parafie/barczewo-parafia-wi-tej-anny/"
"Parafia Świętego Jana Ewangelisty i Opatrzności Bożej","","Bartąg","Bartąg, ul. św. Jana 3, 10-687 Olsztyn ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 541 03 94 ","ks. mgr Leszek Kuriata ","08:00; 10:00 -  Suma; 12:00 - Msza rodzinna; 15:00 - Msza o Miłosierdziu Bożym, poprzedzona koronką do Miłosierdzia Bożego; 18:00","18:00","","","http://archwarmia.pl/parafie/parafie/bartag-parafia-swietego-jana-ewangelisty-i-opatrznosci-bozej/"
"Parafia Świętego Jacka Odrowąża","","Bartążek","Bartąg, ul. św. Jana 3, 10-687 Olsztyn ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 541 03 94 ","ks. mgr Leszek Kuriata ","08:00; 10:30","17:00 - w okresie zimowym; 18:00 - w okresie letnim","","","http://archwarmia.pl/parafie/parafie/bartazek-parafia-swietego-jacka-odrowaza/"
"Parafia Świętego Jakuba","","Bartołty Wielkie","Bartołty Wielkie 4, 11-010 Barczewo ","olsztyn.radioplus.pl/","kuriaol@olsztyn.opoka.org.pl","89 514 34 92 ","ks. Paweł Ostrowski ","09:00 - Rasząg; 10:15 - Rumy; 11:30 - Bartołty Wielkie","17:00 - Bartołty Wielkie","","","http://archwarmia.pl/parafie/parafie/bartolty-wielkie-parafia-swietego-jakuba/"
"Parafia Świętego Brata Alberta","","Bartoszyce","ul. Gdańska 2, 11-200 Bartoszyce ","www.albert-bartoszyce.prv.pl","kuriaol@olsztyn.opoka.org.pl","89 764 11 44 ","ks. kan. Władysław Hnatczuk ","08:00; 09:00; 11:30; 13:00; 19:00; 10:30","07:00; 17:00; 19:00","","","http://archwarmia.pl/parafie/parafie/bartoszyce-parafia-swietego-brata-alberta/"
