"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Wieczerzy Pańskiej","","","ul. Ks. S. Szulczyka 14/16, 04-965 Warszawa","www.parafiaaleksandrow.pl","parafiaalesandrow@wp.pl","22 872 18 74","Ks. Chrząszcz Wiesław","09:00, 10:30 (z udziałem dzieci), 12:00, 18:00 (dla młodzieży)","(wg ogłoszeń)","","","http://www.diecezja.waw.pl/struktura/parafie/2/"
"Parafia Matki Bożej Królowej Polski","","","ul. Rzeźbiarska 46, 04-620 Warszawa","www.anin.parafia.info.pl","anin.parafia@wp.pl","22 613 07 20","Ks. Doszko Marek","07:00, 08:30, 10:00, 11:30, 13:00 (poza wakacjami), 18:00","07:00, 08:00 (poza wakacjami), 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/3/"
"Parafia Bł. Karoliny Kózkówny","","","ul. Wczasowa 24, 05-127 Białobrzegi","parafiabialobrzegi.pl","","22 772 50 30","Ks. Kruszewski Marek","09:00, 10:30 (kaplica w Ryni), 12:00","17:00 (oprócz poniedziałku), 18:00 (kaplica w Ryni w I piątek miesiąca), 20:00 (w I piątek miesiąca)","","","http://www.diecezja.waw.pl/struktura/parafie/48/"
"Parafia Św. Maksymiliana Kolbego","","","ul. Ks. W. Malinowskiego 34, 05-410 Józefów-Błota","www.parafiablota.pl","proboszcz@parafiablota.pl","22 789 44 14","Ks. Ludwiczak Przemysław","08:00, 10:00 (z udziałem dzieci), 12:00, 17:00","08:00 (w poniedziałek, wtorek i środę), 18:00 (oprócz wtorku)","","","http://www.diecezja.waw.pl/struktura/parafie/1/"
"Parafia Matki Bożej z Guadalupe","","","ul. Mazowiecka 33, Budy Barcząckie, 05-300 Mińsk Mazowiecki","","","722 043 355","Ks. Praszczałek Adam","08:00, 10:00, 12:00, 17:00","","","","http://www.diecezja.waw.pl/struktura/parafie/84/"
"Parafia Św. Jana Chrzciciela","","","pl. Anny Jagiellonki 21, 05-319 Cegłów","www.parafiaceglow.pl","","25 757 01 17","Ks. Cempura Dariusz","09:00, 10:00 (DPS, Mienia 94), 11:30, 18:00","08:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/83/"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","","","pl. kard. Stefana Wyszyńskiego 3, 05-430 Celestynów","www.celestynow.waw.pl","parafia.celestynow@gmail.com","22 719 27 44","Ks. Wasiak Mirosław","07:00, 09:00, 10:30, 12:00, 16:00 (kaplica w Regucie), 18:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/120/"
"Ośrodek duszpasterski Św. Józefa","","","Choszczówka Stojecka 50A, 05-300 Mińsk Mazowiecki","","","25 759 92 92","","09:00, 11:00","06:30 (w Adwencie)","","","http://www.diecezja.waw.pl/struktura/parafie/94/"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","","","ul. Partyzantów 8, 05-123 Chotomów","www.parafiachotomow.pl","","","Ks. Kołoniecki Leszek","07:30, 09:00, 10:30 (z udziałem dzieci), 12:00, 18:00, 20:00 (w wakacje)","08:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/73/"
"Parafia Bł. Honorata Koźmińskiego","","","ul. Żwirowa 2, Chrośla, 05-311 Dębe Wielkie","www.diecezja.waw.pl/chrosla","","25 757 71 06","Ks. Wnuk Bogusław Józef","09:30 (w wakacje), 11:00, 16:00 (oprócz wakacji)","","","","http://www.diecezja.waw.pl/struktura/parafie/95/"
"Parafia Podwyższenia Krzyża Świętego","","","ul. Kościelna 30, 05-252 Dąbrówka","www.parafiadabrowka.pl","","","Ks. Mackiewicz Jerzy Karol","07:00, 09:00, 10:30 (z udziałem dzieci), 12:00, 17:00","07:00, 17:00","","","http://www.diecezja.waw.pl/struktura/parafie/128/"
"Parafia Świętych Apostołów Piotra i Pawła","","","ul. Kościelna 2, 05-311 Dębe Wielkie","www.facebook.com/ParafiaDebeWielkie","","25 757 78 93","Ks. Zaraś Henryk Michał","07:00, 09:00, 10:30, 12:00, 18:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/96/"
"Parafia Św. Anny","","","ul. Powstania Styczniowego 83, Długa Kościelna, 05-074 Halinów","www.diecezja.waw.pl/dlugakoscielna","","22 783 60 88","Ks. Ruciński Jan","09:00, 10:30 (z udziałem dzieci), 12:00, 18:00","17:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/153/"
"Parafia Św. Mikołaja","","","ul. Rynek 30A, 05-307 Dobre","www.parafiadobre.pl","","25 757 11 93","Ks. Chojnicki Grzegorz","08:15, 10:00 (poza wakacjami), 11:00 (w wakacje), 12:00 (poza wakacjami), 16:00 (poza wakacjami), 17:00 (w wakacje)","17:00","","","http://www.diecezja.waw.pl/struktura/parafie/147/"
"Parafia Matki Bożej Nieustającej Pomocy","","","ul. Willowa 9, Duczki, 05-200 Wołomin","www.parafiaduczki.pl","","22 776 40 56","Ks. Kałęcki Józef","07:00, 08:30, 10:00, 11:30, 18:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/166/"
"Parafia Najświętszego Serca Pana Jezusa","","","ul. Narcyzowa 18, 04-930 Warszawa","www.parafia.falenica.pl","parafia@falenica.pl","22 612 74 24","","07:00, 08:30, 10:00, 11:30, 13:00, 18:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/4/"
"Parafia Św. Józefa Oblubieńca Najświętszej Maryi Panny i Św. Franciszka","","","Franciszków 68, 05-240 Tłuszcz","","","29 591 05 03","Ks. Chyła Jerzy","09:00, 12:00","(8:00 lub 18:00, wg ogłoszeń)","","","http://www.diecezja.waw.pl/struktura/parafie/160/"
"Parafia Św. Wawrzyńca","","","ul. Wawrzyniecka 149, 05-408 Glinianka","www.parafiaglinianka.pl","","22 789 97 97","Ks. Krzesiński Krzysztof","08:00, 10:00, 11:30, 17:00 (od października do kwietnia), 18:00 (od maja do września)","07:30 (oprócz maja i października), 18:00 (w maju i październiku)","","","http://www.diecezja.waw.pl/struktura/parafie/109/"
"Parafia Św. Michała Archanioła","","","ul. Głębocka 119, 03-289 Warszawa","www.archaniol.waw.pl","parafiaglebocka@wp.pl","22 675 88 79","Ks. Ścisłowski Adam Antoni","07:30, 10:00, 11:30, 13:00, 18:00, 20:00","08:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/16/"
"Parafia Św. Kazimierza Królewicza","","","ul. Mazowiecka 45, Grzebowilk, 05-332 Siennica","figowiec.net","parafia.grzebowilk@gmail.com","","Ks. Ryglewicz Janusz Tadeusz","07:30, 09:30 (kaplica w Teresinie), 11:30","06:30 (we wtorek i czwartek), 07:30 (w sobotę), 18:00 (w poniedziałek, środę i piątek)","","","http://www.diecezja.waw.pl/struktura/parafie/97/"
"Parafia Matki Bożej Nieustającej Pomocy","","","Guzew 102, 05-320 Mrozy","mojaparafia.eu/?p=2","guzew@mojaparafia.eu","25 752 67 75","Ks. Długosz Robert","08:45 (kaplica szpitalna w Rudce), 10:00, 11:00","17:00","","","http://www.diecezja.waw.pl/struktura/parafie/139/"
"Parafia Matki Bożej Częstochowskiej","","","Gwizdały 1A, 07-130 Łochów","","","25 675 28 82","O. Kapała Rafał SSCC, od 01.12.2013","07:30, 09:15, 10:45 (kaplica w Kaliskach), 12:30","08:30 (w sobotę), 17:00 (oprócz soboty od października do marca), 18:00 (oprócz soboty od kwietnia do września)","","","http://www.diecezja.waw.pl/struktura/parafie/58/"
"Parafia Najświętszej Maryi Panny Matki Łaski Bożej","","","ul. Okuniewska 61, 05-074 Halinów","www.parafiahalinow.pl","parafiahalinow@gmail.com","22 783 60 74","Ks. Szewczyk Robert Rafał","07:00, 10:00, 12:00 (z udziałem dzieci), 16:00 (poza wakacjami), 19:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/154/"
"Parafia Św. Faustyny","","","ul. Boryny 8, Helenów, 05-200 Wołomin","www.faustynahelenow.pl","","22 787 10 50","Ks. Węgrzynowicz Ireneusz","09:00, 11:00, 18:00","07:00 (we wtorek oprócz maja, czerwca, października i listopada)","","","http://www.diecezja.waw.pl/struktura/parafie/167/"
"Parafia Matki Bożej Nieustającej Pomocy","","","ul. Nowa 1, Huta Mińska, 05-300 Mińsk Mazowiecki","","","25 758 07 75","Ks. Piotrowski Andrzej Grzegorz","08:00, 11:00, 17:00","18:00","","","http://www.diecezja.waw.pl/struktura/parafie/85/"
"Parafia Św. Antoniego z Padwy","","","ul. Ignaców 11, 05-300 Mińsk Mazowiecki","","parafia.ignacow@wp.pl","25 759 26 11","Ks. Staszczyszyn Edward CM, od 25.06.2004","","","","","http://www.diecezja.waw.pl/struktura/parafie/86/"
"Parafia Matki Bożej Królowej Polski","","","ul. Modlińska 105A, 05-110 Jabłonna","www.parafiajablonna.info","admin@parafiajablonna.info","22 782 42 96","Ks. Sieńkowski Jerzy","07:30, 09:00, 10:30, 12:00, 18:00","07:00, 18:00","","","http://www.diecezja.waw.pl/struktura/parafie/74/"
