"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Bł. Matki Teresy z Kalkuty","","","Adamowizna, ul. Promienna 7, 05-825 Grodzisk Mazowiecki","","mariuszbrzostek@wp.pl","600 050 883","","08:00, 10:00, 12:00, 18:00","18:00","","52.077498,20.629314","http://archidiecezja.warszawa.pl/parafie/adamowizna-bl-matki-teresy-z-kalkuty/"
"WNIEBOWZIĘCIA NMP","","","ul. Rynek 17, 05-082 Stare Babice","www.parafia-babice.pl","","22 722 90 45","","7:30, 9:30, 11:30, 16:00 (poza wakacjami), 18:00","8:00, 18:00","","52.251099,20.841406","http://archidiecezja.warszawa.pl/parafie/babice-wniebowziecia-nmp/"
"NMP KRÓLOWEJ POKOJU (w Rodzinach)","","","ul.Willowa 2, 05-532 Baniocha","www.parafiabaniocha.waw.pl","","22 727 55 15, fax +48 22 727 55 15","","7:30, 9:00, 10:30, 12:00, 18:00 (od I Niedzieli Adwentu do Niedzieli Palmowej - godz. 17:00)","7:30, 18:00 (od I Niedzieli Adwentu do Niedzieli Palmowej - godz. 17:00)","","52.020880,21.117903","http://archidiecezja.warszawa.pl/parafie/baniocha-nmp-krolowej-pokoju-w-rodzinach/"
"Bazylika archikatedralna św. Jana Chrzciciela","","","ul. Świętojańska 8, 00-288 Warszawa","www.katedra.mkw.pl","archi@katedra.mkw.pl","22 831 02 89","","8:00, 9:30, 11:00 (suma), 12:30, 18:00, 19:00, 21:00","7:00, 7:30 (poza okresem wakacyjnym), 8:00, 19:00","","52.248757,21.013504","http://archidiecezja.warszawa.pl/parafie/bazylika-archikatedralna-sw-jana-chrzciciela/"
"ŚWIĘTEJ TRÓJCY","","","ul. Modrzewiowa 4, 05-622 Belsk Duży","www.parafiatrojcybelskduzy.pl","swtrojca.belsk@neostrada.pl","48 661 16 27, fax +48 48 661 16 27","","9:00, 12:00, 16:00 (w okresie letnim - godz. 17:00)","8:00, 16:00 (od kwietnia do września - godz. 17:00)","","51.826703,20.808810","http://archidiecezja.warszawa.pl/parafie/belsk-swietej-trojcy/"
"OBJAWIENIA PAŃSKIEGO","","","ul. Łaszczyńskiego 1, 05-082 Blizne","www.objawieniepanskie.waw.pl","par.objawieniapanskiego@gmail.com","22 722 02 50","","9:00, 10:30 (dla dzieci, poza wakacjami), 12:00, 18:00","8:00, 18:00","","52.244212,20.882168","http://archidiecezja.warszawa.pl/parafie/blizne-objawienia-panskiego/"
"PRZEMIENIENIA PAŃSKIEGO","","","Boglewice 57, 05-604 Jasieniec","","","48 662 23 94","","9:00, 11:00, 17:00 (poza wakacjami)","17:00","","51.808456,20.997595","http://archidiecezja.warszawa.pl/parafie/boglewice-przemienienia-panskiego/"
"Bogurodzicy Maryi na Jelonkach Północnych","","","ul. Powstańców Śląskich 67d, 01-355 Warszawa","www.bogurodzica.com.pl","parafia@bogurodzica.com.pl","22 665 18 69","","7:00, 8:30, 10:00 (dla młodzieży), 11:30 (dla dzieci), 13:00, 18:00, 19:30 (dla studentów)","7:00, 8:00, 18:00, 19:00","","52.234229,20.911708","http://archidiecezja.warszawa.pl/parafie/bogurodzicy-maryi-na-jelonkach-polnocnych/"
"Św. WINCENTEGO FERRERIUSZA","","","ul. Warszawska 822, 05–083 Borzęcin Duży","www.swietywincenty.waw.pl","info@swietywincenty.waw.pl","22 752 05 21","","8:30, 10:00 (dla dzieci), 11:30, 16:00","17:30","","52.251684,20.737582","http://archidiecezja.warszawa.pl/parafie/borzecin-sw-wincentego-ferreriusza/"
"Bramki Św. MAKSYMILIANA KOLBEGO","","","ul. Kościelna 7, 05-870 Błonie","www.parafiabramki.waw.pl","","22 725 60 49","","7:00 (w DPS), 9:00, 12:00","7:00 (we wtorek, czwartek i sobotę), 17:00 (w poniedziałek, środę i piątek, zimą o godz. 18:00)","","52.192285,20.531706","http://archidiecezja.warszawa.pl/parafie/bramki-sw-maksymiliana-kolbego/"
"Św. FLORIANA","","","ul. Biskupicka 2, 05-840 Brwinów","www.swflorian.com","swflorian@swflorian.com","22 729 61 44","","7:00, 9:00, 10:30, 11:45 (dla dzieci), 13:00, 15:00 (Msza Trydencka), 18:00","7:00, 8:00, 18:00","","52.142912,20.715124","http://archidiecezja.warszawa.pl/parafie/brwinow-sw-floriana/"
"Bł. MARCELINY DAROWSKIEJ","","","Łomianki-Buraków, ul. Sobieskiego 2a, 05-092 Łomianki","","","22 751 84 08","","8:00, 10:00, 12:00","6:45 (w wakacje - godz. 7:15), 18:00 (poniedziałek, środa, piątek, sobota)","","52.323740,20.919038","http://archidiecezja.warszawa.pl/parafie/burakow-bl-marceliny-darowskiej/"
"Bł Edmunda Bojanowskiego na Wolicy","","","ul. Kokosowa 12, 02-797 Warszawa","www.bojanowski.org","parafia@bojanowski.org","602 786 198","","8:00, 10:00, 11:15 (dla dzieci), 12:30, 18:00","6:45, 18:00","","52.152533,21.062045","http://archidiecezja.warszawa.pl/parafie/bl-edmunda-bojanowskiego-na-wolicy/"
"Bł Edwarda Detkensa","","","ul. Dewajtis 3, 01-815 Warszawa","www.lasbielanski.pl","lasbielanski@lasbielanski.pl","22 83 90 400 (domek nr 10)","","11:00 (suma), 13:00","12:00","","52.295942,20.959819","http://archidiecezja.warszawa.pl/parafie/bl-edwarda-detkensa/"
"Bł Władysława z Gielniowa w Natolinie","","","ul. Przy Bażantarni 3, 02-793 Warszawa","www.blwlad.org.pl","kancelaria@blwlad.org.pl","22 648 59 11","","7.00, 9.00, 10.30, 12.00, 13:15, 18:00 (młodzieżowa), 20:00","7:00, 7:30, 18:00, 19:00 (w soboty 18:00 - liturgia niedzielna)","","52.137248,21.065597","http://archidiecezja.warszawa.pl/parafie/bl-wladyslawa-z-gielniowa-w-natolinie/"
"Św. PROKOPA OPATA","","","Stary Rynek 13, 05-620 Błędów","www.parafiabledow.pl","ksleszek@parafiabledow.pl","48 668 00 59","","7:00, 9:00, 11:00","Zgodnie z planem intencji","","51.774762,20.698735","http://archidiecezja.warszawa.pl/parafie/bledow-sw-prokopa-opata/"
"NARODZENIA PAŃSKIEGO","","","ul. Powstańców 8a, 05-870 Błonie","www.narodzenia-panskiego.mkw.pl","parafia-np.@narodzenia-panskiego.mkw.pl","22 725 12 25","","8:00, 10:00 (młodzieżowa), 11:30 (dla dzieci), 13:00 (suma), 18:00","7:00 (poza wakacjami), 18:00","","52.198638,20.621056","http://archidiecezja.warszawa.pl/parafie/blonie-narodzenia-panskiego/"
"ŚWIĘTEJ TRÓJCY","","","ul. Jana Pawła II 5, 05-870 Błonie","www.parafiasw3blonie.pl","","22 731 94 40","","7:00, 8:30, 10:00, 11:30, 13:00, 18:00","6:30, 7:30, 18:00 (w wakacje o 19:00)","","52.193381,20.613902","http://archidiecezja.warszawa.pl/parafie/blonie-swietej-trojcy/"
"Chylice Św. URSZULI LEDÓCHOWSKIEJ","","","ul. Dworska 5, 05-510 Konstancin-Jeziorna","www.parafiachylice.pl","parafiachylice@gmail.com","22 756 89 51","","8:00, 10:30, 12:00, 18:00","9:00, 18:00","","52.082886,21.069885","http://archidiecezja.warszawa.pl/parafie/chylice-sw-urszuli-ledochowskiej/"
"ŚWIĘTEJ TRÓJCY","","","Chynów 47, 05-650 Chynów k. Grójca","www.parafia-chynow.pl","parafia@parafia-chynow.pl","48 661 42 24","","8:00, 9:30, 11:00, 12:30, 18:00 (od października do Wielkanocy o godz. 17:00, poza wakacjami)","8:30, 17:00 (od października do końca Adwentu; od lutego do Wielkanocy; w soboty w styczniu), 18:00","","51.903591,21.080891","http://archidiecezja.warszawa.pl/parafie/chynow-swietej-trojcy/"
"MATKI BOŻEJ KRÓLOWEJ POLSKI","","","ul. Kard. S. Wyszyńskiego 4, 05-152 Czosnów, Cząstków Mazowiecki","","parafiambkp@wp.pl","22 785 02 65","","9:00, 11:00, 18:00 (w okresie zimowym - godz. 17:00)","18:00 (w okresie zimowym - godz. 17:00)","","52.392238,20.742390","http://archidiecezja.warszawa.pl/parafie/czastkow-matki-bozej-krolowej-polski/"
"PRZEMIENIENIA PAŃSKIEGO","","","Plac Tysiąclecia 14, Czersk, 05-530 Góra Kalwaria","www.parafiaczersk.pl","","22 727 32 12","","9:00, 11:00, 18:00","8:00, 18:00","","51.958765,21.230928","http://archidiecezja.warszawa.pl/parafie/czersk-przemienienia-panskiego/"
"Dąbrowa Leśna. Św. MARKA EWANGELISTY","","","ul. Żywiczna 2, 05-092 Łomianki","www.parafia-dabrowa.pl","","22 751 85 91","","9:00, 11:00 (dla dzieci), 18:00","18:00 (w czasie kolędy - godz. 8:00)","","52.326447,20.886664","http://archidiecezja.warszawa.pl/parafie/dabrowa-lesna-sw-marka-ewangelisty/"
"ŚW. MATEUSZA EWANGELISTY","","","Dawidy Bankowe, ul. Miklaszewskiego 98, 05-090 Raszyn","www.swmateusz-dawidy.pl","","22 720 80 87","","8:00, 9:30, 11:30 (dla dzieci)","8:00 (wtorek, czwartek), 17:00 (poniedziałek, środa, piątek, sobota)","","52.124665,20.962995","http://archidiecezja.warszawa.pl/parafie/dawidy-sw-mateusza-ewangelisty/"
"Dobrego Pasterza na Urlychowie","","","ul. Szczecińskiego 5, 01-113 Warszawa","www.dobrypasterz.waw.pl","parafia@dobrypasterz.waw.pl","22 877 16 79","","7:00, 8:30, 10:00, 11:30 (dla dzieci), 13:00, 17:00 (poza wakacjami), 19:00 (akademicka)","6:30 (poza wakacjami), 7:00, 8:00, 9:00, 18:00 (poza wakacjami), 19:00","","52.236446,20.938763","http://archidiecezja.warszawa.pl/parafie/dobrego-pasterza-na-reducie-wolskiej/"
"ŚWIĘTYCH APOSTOŁÓW PIOTRA i PAWŁA","","","ul. Grójecka 20 , 05-651 Drwalew k. Grójca","","parafiadrwalew@wp.pl","48 664 65 84","","9:00, 11:45, 17:00","18:00 (w okresie zimowym - godz. 17:00)","","51.896660,21.022100","http://archidiecezja.warszawa.pl/parafie/drwalew-swietych-apostolow-piotra-i-pawla/"
"Dzieciątka Jezus na Żoliborzu","","","ul. Czarnieckiego 15, 01-548 Warszawa","www.dzieciatko-jezus.pl","kancelaria@dzieciatko-jezus.pl","22 839 21 68","","8:00, 9:15, 10:30, 11:45 (dla dzieci), 13:00, 18:00","7:00, 8:00, 18:00","","52.265736,20.990715","http://archidiecezja.warszawa.pl/parafie/dzieciatka-jezus-na-zoliborzu/"
