"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Wniebowzięcia Najświętszej Maryi Panny","","","Bagno, nr 31, 55-120 Oborniki Śląskie","www.bagno.sds.pl","bagno.sds@gmail.com","71/310-61-95","Ks. mgr lic. Grzegorz SKAŁECKI SDS ","8.30, 8.30 (Godzięcin, Osolin), 10.00 (Godzięcin, Wielka Lipa), 11.30","","","51.33857,16.82051","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=4&id_par=1"
"św. Marcina","","","Barkowo, nr 68 A, 55-140 Żmigród","zobacz na mapie UMP","barkowo@archidiecezja.wroc.pl","71/385-64-70","Ks. mgr Mariusz GRZESIOWSKI ","9.00, 10.30, 12.00","17.00 (zima), 18.00 (lato); Białawy Małe - cz, 16.00 (zima), 17.00 (lato)","","51.47574,16.80379","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=25&id_par=1"
"św. Anny","","","Bąkowice, ul Główna 76, 46-112 Świerczów","zobacz na mapie UMP","bakowice@archidiecezja.wroc.pl","77/419-92-02","Ks. mgr Andrzej JAREMKO RM ","7.30, 9.00, 10.30, 12.00","17.00","","50.93079,17.70133","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=18&id_par=1"
"św. Andrzeja Apostoła","","","Bielany Wrocławskie, ul. Wrocławska 30 A, 55-040 Kobierzyce","www.parafia-bielany.pl","bielany@archidiecezja.wroc.pl","71/311-27-82","Ks. mgr Mirosław DZIEGIŃSKI RM ","7.45, 9.30, 11.00, 12.30, 18.30","7.45 (wt., czw.), 18.30 (po, śr., pt, so)","","51.03978,16.96886","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=47&id_par=1"
"św. Józefa Oblubieńca Najświętszej Maryi Panny","","","ul. Oleśnicka 9, 56-420 Bierutów","bierutow.archidiecezja.wroc.pl","bierutow@archidiecezja.wroc.pl","71/314-69-19","Ks. mgr Ryszard ZNAMIROWSKI Kan. hon. ex. num. Kap. Koleg. wicedziekan ","7.00, 7.45 (Solniki Małe), 9.00, 9.15 (Paczków), 10.30, 10.30 (Posadowice), 12.00, 12.00 (Młokicie), 18.00","7.00, 17.00 (I czw. - Solniki Małe, II czw. - Paczków, III czw. - Posadowice, IV czw. - Młokicie), 18.00","","51.12322,17.54350","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=20&id_par=1"
"Wniebowzięcia Najświętszej Maryi Panny","","","Biestrzykowice, ul. Główna 2, 46-112 Świerczów","zobacz na mapie UMP","biestrzykowice@archidiecezja.wroc.pl","77/419-46-38","Ks. mgr Wojciech ŁATA RM ","7.30, 9.00, 10.15, 12.00","zima 17.00, lato 18.00","","50.99040,17.75479","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=18&id_par=2"
"Najświętszej Maryi Panny Nieustającej Pomocy","","","Boguszyce, nr 62, 56-400 Oleśnica","www.boguszyce.archidiecezja.wroc.pl","boguszyce@archidiecezja.wroc.pl","71/314-28-46","Ks. mgr Andrzej AUGUSTYN RM ","8.00, 9.30, 11.00, 12.30","17.00","","51.24669,17.39524","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=20&id_par=2"
"Miłosierdzia Bożego","","","Boleścin, nr 67, 55-100 Trzebnica","zobacz na mapie UMP","bolescin@archidiecezja.wroc.pl","71/312-86-46","Ks. mgr Leszek URBAN ","9.00, 10.30 (Głuchów Górny), 12.00","V-IX: 18.00 (wt, pt - Głuchów Górny), 19.00","","51.26469,17.16403","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=31&id_par=1"
"św. Wawrzyńca i św. Antoniego","","","Borek Strzeliński, ul. Szkolna 8, 57-160 Borów","zobacz na mapie UMP","borekstrzelinski@archidiecezja.wroc.pl","71/393-05-89","Ks. mgr Wiesław SZCZĘCH RM dziekan ","8.00, 10.45, 12.00 (III niedz. mies.)","środa 7.30; zima 17.00, lato 18.00 (z wyj. środy)","","50.86681,17.06269","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=1&id_par=1"
"Najświętszej Maryi Panny Królowej Polski","","","Borowa Oleśnicka, Smardzów nr 50a, 56-400 Oleśnica","zobacz na mapie UMP","borowaolesnicka@archidiecezja.wroc.pl","71/314-98-05","Ks. mgr Ryszard FILOZOF ","9.00, 10.30, 12.00","18.00","","51.19072,17.27930","http://www.archidiecezja.wroc.pl/parafia.php?id_dek=21&id_par=1"
