"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Matki Bożej Nieustającej Pomocy","","Aleksandrów","Aleksandrów 441, 23-408 Aleksandrów","www.parafia.ealeksandrow.pl","parafia@ealeksandrow.pl","84 687 50 10","Ks. Leszek Oberda","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,71"
"Świętego Andrzeja Boboli","","Basznia Dolna","Basznia Dolna, 37-621 Basznia,","www.parafiabasznia.pl","","16 632 7316","Ks. Leszek Bruśniak","8.00, 10.00, 11.30, 15.00 ","","","","http://diecezja.zamojskolubaczowska.pl/parafia,86"
"Matki Bożej Królowej Polski","","Bełżec","Świerczewskiego 71, 22-670 Bełżec,","www.belzec.zamojskolubaczowska.pl","","-84/665-24-65","Ks. Stanisław Szałański","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,157"
"Matki Bożej Częstochowskiej","","Białopole","Chełmska 2a, 22-135 Białopole","","","82 568 22 48","Ks. Henryk Borzęcki","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,61"
"Opieki Matki Bożej Uzdrowienia Chorych","","Bihale","Bihale 87, 37-631 Nowa Grobla","www.parafiabihale.iap.pl","bihale@iap.pl","16 631 61 43","Ks. Michał Grela","- Bihale: 7.00, 11.00 (okres letni:8.00); ","","","","http://diecezja.zamojskolubaczowska.pl/parafia,87"
"Świętej Marii Magdaleny","","Biłgoraj","Krzeszowska 1, 23-400 Biłgoraj","www.maria-magdalena.zamojskolubaczowska.pl","","84 686 1696","Ks. Witold Batycki","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,13"
"Świętego Jerzego","","Biłgoraj","Ogrodowa 3, 23-400 Biłgoraj","www.kosciolek.parafia.info.pl","","84 686 7602","Ks. Stanisław Budzyński","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,12"
"Św. Jana Pawła II","","Biłgoraj","ul. Księcia Józefa Poniatowskiego 42 A, 23-400 Biłgoraj","www.jp2.zamojskolubaczowska.pl","","84 534 3911","Ks. Józef Flis","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,200"
"Chrystusa Króla","","Biłgoraj","Polna 32, 23-400 Biłgoraj","www.chrystuskrol.zamojskolubaczowska.pl","","84 686 35 42","Ks. Józef Michalik","godz.: 8.00, 10.00, 11.00, 12.00, 18.00 ","","","","http://diecezja.zamojskolubaczowska.pl/parafia,22"
"Trójcy Przenajświętszej i Wniebowzięcia Najświętszej Maryi Panny","","Biłgoraj","3maja 1, 23-400 Biłgoraj","www.wnmpbilgoraj.zamojskolubaczowska.pl","wnmpbilgoraj@zamojskolubaczowska.pl","84 686 74 98","Ks. Jerzy Kołtun","","","","","http://diecezja.zamojskolubaczowska.pl/parafia,23"
"Najświętszego Serca Jezusa","","Biszcza","Biszcza 48, 23-425 Biszcza","","","84 685 60 25","Ks. Stanislaw Bełz","9.00, 10.30 (Bukowina), 12.00, 14.30 (Zynie) 16.00 ","","","","http://diecezja.zamojskolubaczowska.pl/parafia,138"
"Świętej Bożej Opatrzności","","Bondyrz","Bondyrz, 22-442 Adamów","","","84 618 62 13","Ks. Paweł Słonopas","9.00, 11.00, 12.30 ","","","","http://diecezja.zamojskolubaczowska.pl/parafia,72"
