"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia pw. św. Wawrzyńca","","Babimost","ul. Kościelna 1, 66-110 Babimost","","","68-351-20-25","ks. kan. dr Andrzej PIELA ","BABIMOST – pw. św. Wawrzyńca (8:00, 9:30, 11:00, 18:00); BABIMOST – pw. św. Jacka; PODMOKLE WIELKIE – pw. św. Józefa Rzemieślnika (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/560-babimost-pw-sw-wawrzynca"
"Parafia pw. św. Apostołów Piotra i Pawła","","Baczyna","ul. Lipowa 12, 66-432 Baczyna","","parafiabaczyna@wp.pl","95-731-42-60 e-mail: Ten adres pocztowy jest chroniony przed spamowaniem. Aby go zobaczyć, kon...","ks. mgr Jarosław ZAGOZDA ","BACZYNA – pw. św. Ap. Piotra i Pawła (8:00, 11:00); MARWICE – pw. Narodzenia NMP (9:30); RACŁAW – pw. MB Szkaplerznej (12:15)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/158-baczyna-parafia-pw-sw-apostolow-piotra-i-pawla"
"Parafia pw. św. Andrzeja Boboli","","Białków","Białków 23, 66-630 Cybinka","","","68-391-19-60","ks. mgr Krzysztof SUDZIŃSKI ","BIAŁKÓW – pw. św. Andrzeja Boboli (7:30, 13:00); GRZMIĄCA – pw. Świętej Rodziny (11:00); RĄPICE – pw. Najświętszego Serca Pana Jezusa (9:30); KŁOPOT – zaadaptowana sala w dawnej szkole (18:00 – sobota)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/574-bialkow-parafia-pw-sw-andrzeja-boboli"
"Parafia pw. Matki Bożej Bolesnej","","Białołęka","67-221 Białołęka 16a","","","76-831-71-24","ks. mgr Jacek HEYDUK ","BIAŁOŁĘKA – pw. MB Bolesnej (18:00 - sobota, 11:00); CZERŃCZYCE – pw. Chrystusa Króla (8:15); WOJSZYN – pw. św. Mikołaja (12:15); PĘCŁAW – kaplica pw. św. Józefa (9:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/123-bialoleka-parafia-pw-matki-bozej-bolesnej"
"Parafia pw. Niepokalanego Poczęcia Najświętszej Maryi Panny","","Bieniów","ul. Dolna 2, 68-204 Bieniów","","","68-374-15-70","ks. mgr Andrzej WOCH ","BIENIÓW – pw. Niepokalnego Poczęcia NMP (8:00, 11:00); BIAŁOWICE – pw. Najświętszego Serca Pana Jezusa (13:00); BIEDRZYCHOWICE – pw. Podwyższenia Krzyża Świętego (9:30); WŁOSTÓW – liturgia sprawowana w świetlicy wiejskiej (18:00 - sobota)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/575-bieniow-parafia-pw-niepokalanego-poczecia-najswietszej-maryi-panny"
"Parafia pw. św. Katarzyny","","Bledzew","ul. Kościuszki 30, 66-350 Bledzew","","","95-743-60-32","ks. mgr Zbigniew ZDANOWICZ ","BLEDZEW – pw. św. Katarzyny (7:30, 12:00, 17:00); CHYCINA – pw. Niepokalanego Poczęcia NMP (9:15); GORUŃSKO – kaplica pw. MB Królowej Polski (10:30); POPOWO – pw. św. Jana Chrzciciela (11:00); STARY DWOREK – pw. św. Józefa (9:00); ZEMSKO – pw. Zwiastowania NMP (10:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/580-bledzew-parafia-pw-sw-katarzyny"
"Parafia pw. Miłosierdzia Bożego","","Bobowicko","Bobowicko, ul. Trzcielska 6, 66-300 Międzyrzecz,","www.parafiabobowicko.zgora-gorzow.opoka.org.pl","parabobo@go.onet.pl?subject=ze%20strony%20www","95-741-32-20","ks. kan. Andrzej KUGIELSKI ","BOBOWICKO – pw. Miłosierdzia Bożego (7:30, 12:00) MIĘDZYRZECZ-OBRZYCE – pw. Podwyższenia Krzyża Świętego (9:00, 11:00, 18:00) ŻÓŁWIN – kaplica pw. św. s. Faustyny Kowalskiej (10:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/581-bobowicko-parafia-pw-milosierdzia-bozego"
"Parafia pw. Podwyższenia Krzyża Świętego","","Bobrowice","66-627 Bobrowice 58","","","68-391-32-14 ","ks. mgr Jerzy WAŚCIŃSKI ","BOBROWICE – pw. Podw. Krzyża Świętego (8:30, 11:30) DACHÓW – kaplica pw. MB Fatimskiej (13:00) JANISZOWICE – pw. Niepokalanego Poczęcia NMP (10:00) KOSIERZ – pw. Nawiedzenia NMP (10:00) LUBIATÓW – pw. MB Częstochowskiej (11:30) TARNAWA – pw. Najśw. Serca Pana Jezusa (13:00) WEŁMICE – kaplica pw. św. Józefa (8:30) ŻARKÓW – sala w świetlicy gminnej (17:00 - 1. i 3. sobota miesiąca)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/705-bobrowice-parafia-pw-podwyzszenia-krzyza-swietego"
"Parafia pw. św. Antoniego z Padwy","","Bobrówko","ul. Wesoła 1, 66-510 Bobrówko","","","95-763-51-87","ks. Ryszard FIDO ","BOBRÓWKO – pw. św. Antoniego z Padwy (16:00 - sobota, 10:00, 13:00) BUSZÓW – w budowie (11:30) DANKÓW – pw. Najświętszego Serca Pana Jezusa (12:30) LUBICZ – pw. świętych Apostołów Piotra i Pawła (11:30) MACHARY – kaplica pw. Miłosierdzia Bożego (16:00 - sobota) SOKÓLSKO – pw. św. Stanisława Bpa (9:00) TUCZNO – pw. Pierwszych Męczenników Polski (17:00 - sobota, 9:00)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/775-bobrowko-parafia-pw-sw-antoniego-z-padwy"
"Parafia pw. Matki Bożej Królowej Polski","","Boczów","ul. Szkolna 2, 66-234 Boczów","","","68-341-40-67","ks. Józef PIEPRZAK ","BOCZÓW – pw. MB Królowej Polski (9:00, 12:00) BOBRÓWKA – pw. Podwyższenia Krzyża Świętego (13:30) GARBICZ – pw. Najświętszego Serca Pana Jezusa (11:00) LUBIN – pw. Bożego Ciała (9:30) LUBÓW – pw. św. Michała Archanioła (11:30) MIERCZANY – pw. św. Józefa Oblubieńca (8:30) PNIÓW – pw. MB Różańcowej (10:00) WYSTOK – pw. św. Stanisława Bpa (12:30)","","","","http://www.kuria.zg.pl/index.php/diecezja/dekanaty/parafie/item/757-boczow-parafia-pw-matki-bozej-krolowej-polski"
