"name","address","www","email","phone","rector","sun","week","fest","url"
"Parafia pw. św. Jakuba Większego","ul. Kościelna 4","","ksedmund@wp.pl","52/383.20.39","ks. Edmund NAPIERAŁA","7.30, 9.00, 10.30, 18.00","8.00, 18.00","8.00, 10.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_barcinski/barcin_par._pw._sw._jakuba_wiekszego.html"
"Parafia pw. św. Maksymiliana Marii Kolbego","88‑190 Barcin, ul. Mogileńska 7","","","52/383.25.11","ks. Bronisław WIŚNIEWSKI","7.00, 9.00, 10.30, 12.00, 17.30","7.00, 17.30","7.00, 9.00, 17.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_barcinski/barcin_par._pw._sw._maksymilina_marii_kolbego.html"
"Parafia pw. św. Mikołaja","62-300 Września , Bardo 10","www.bardo-wrzesnia.pl/","","61/438.12.96","ks. Stanisław TRZEPKOWSKI","9.00, 11.00","czas letni: 17.00; czas zimowy: 18.00","9.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wrzesinski_i/bardo_par._pw._sw._mikolaja.html"
"Parafia pw. św. Tymoteusza","62‑095 Murowana Goślina, Białężyn 47","","","61/812.24.31","ks. Tomasz NAWROCKI","Pacholewo: 8.45; Uchorowo: 10.00; Białężyn: 11.15","czas letni: 18.00; czas zimowy: 17.00","Pacholewo: 16.00; Uchorowo: 17.00; Białężyn: 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_goslinski/bialezyn_par._pw._sw._tymoteusza.html"
"Parafia pw. Narodzenia NMP","Sanktuarium Matki Bożej Pocieszenia, 62-320 Miłosław, Biechowo 12","","","61/438.28.87","o. Józef STĘPIEŃ OSPPE","8.30, 11.00, 16.00","czas letni: 18.00; czas zimowy: 17.00","8.00, 17.00/18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_miloslawski/biechowo_par._pw._narodzenia_nmp.html"
"Parafia pw. Świętego Krzyża","62-305 Sokolniki , Bieganowo 14","","","61/438.59.87","ks. Mariusz WIŚNIEWSKI","8.00, 11.30","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wrzesinski_ii/bieganowo_par._pw._swietego_krzyza.html"
"Parafia pw. św. Michała Archanioła","88‑133 Dąbrowa Biskupia, Brudnia 6","","","52/351.21.83","ks. Paweł BŁOCH","7.30, 9.30, 11.00","17.30","17.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gniewkowski/brudnia_par._pw._sw._michala_archaniola.html"
"Parafia pw. św. Marii Magdaleny","62-420 Strzałkowo, Brudzewo 35","","","63/275.91.29","ks. Tomasz GŁUSZAK","9.00, 11.00","czas letni: 18.00; czas zimowy: 17.00","9.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_strzalkowski/brudzewo_par._pw._sw._marii_magdaleny.html"
"Parafia pw. św. Wojciecha","88-121 Chełmce , Brześć n. Gopłem","","","52/351.66.79","ks. Jerzy RAFALONT","8.30, 11.30; kaplica w Rzeczycy: 14.00","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_kruszwicki/brzesc_n._goplem_par._pw._sw._wojciecha.html"
"Parafia pw. św. Katarzyny Aleksandryjskiej","88-400 Żnin , Brzyskorzystew 26","","","52/302.47.13","ks. Tomasz LATANOWICZ","8.15, 11.00; Sobiejuchy: 9.30","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_zninski/brzyskorzystew_par._pw._sw._katarzyny_aleksandryjskiej.html"
"Parafia pw. św. Wojciecha","62-150 Mieścisko, ul. Kościelna 1","","","61/427.80.08",":","10.00","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_klecki/budziejewko_par._pw._sw._wojciecha.html"
"Parafia pw. św. Jakuba Ap.","64‑612 Budziszewko 17,","","","67/261.91.06","ks. Grzegorz KULIŃSKI","8.00, 12.00; Studzieniec: 10.00","18.00","Studzieniec: 16.30; Budziszewko: 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_rogozinski/budzieszewko_par._pw._sw._jakuba_ap..html"
"Parafia pw. Wniebowzięcia NMP","62-541 Budzisław Kościelny, ul. Wilczyńska 6","","dabrowskirom@wp.pl","63/268.10.26","ks. Roman DĄBROWSKI","8.30, 11.30, 17.00","7.30; w piątki: 18.00; październik-kwiecień: 16.00","8.30, 18.00; październik-kwiecień: 8.30, 16.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_kleczewski/budzislaw_koscielny_par._pw._wniebowziecia_nmp.html"
"Parafia pw. św. Barbary","64‑840 Budzyń, ul. ks. Struka 4","","","67/284.32.25","ks. Marek PIOSIK","7.300, 9.00, 11.00, 18.00; Sokołowo Budzyńskie: 10.00","czas letni: 18.00, 18.30","7.00, 11.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_chodzieski/budzyn_par._pw._sw._barbary.html"
"Parafia pw. św. Mikołaja","88-400 Żnin , Cerekwica","","","52/302.02.57","ks. Grzegorz ROSIŃSKI","8.30, 11.00","18.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_zninski/cerekwica_par._pw._sw._mikolaja.html"
"Parafia pw. św. Katarzyny Aleksandryjskiej","88-121 Chełmce, Chełmce 94","","","52/351.68.29","ks. Bronisław HANIEWICZ","8.30, 10.00, 11.30","czas letni: 18.00; czas zimowy: 17.00","10.00, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_kruszwicki/chelmce_par._pw._sw._katarzyny.html"
"Parafia pw. Świętej Tr&oacute;jcy","Chlewiska, 88-133 Dąbrowa Biskupia","","","52/351.21.82","ks. Andrzej LEPPERT","8.00, 10.00, 11.30","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_ii/chlewiska_par._pw._swietej_trojcy.html"
"Parafia pw. Nawiedzenia NMP","64‑800 Chodzież, ul. ks. kan. Jana Ksyckiego 2","parafia.chodziez.pl/","chodziez@neostrada.pl","67/282.97.41","ks. Arkadiusz ROSIŃSKI","8.00, 9.30, 11.15, 12.30, 16.00; Pietronki: 9.00;","8.00, 17.30, 18.30","8.00, 11.00, 17.30, 18.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_chodzieski/chodziez_par._pw._nawiedzenia_nmp.html"
"Parafia pw. św. Floriana","64‑800 Chodzież, ul. Kościelna 8","florianchodziez.pl/","florianchodziez@neostrada.pl","67/282.73.82","ks. Ireneusz SZYPURA","7.00, 8.30, 10.00, 11.15, 12.30, 15.00, 17.00, 19.00","7.00, 8.00, 18.30","7.00, 8.30, 10.00, 16.00, 17.00, 19.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_chodzieski/chodziez_par._pw._sw._floriana.html"
"Parafia pw. św. Jana Chrzciciela","88-410 Gąsawa , Chomiąża Szlachecka","","parafia@mac.com","52/560.26.46","ks. Jerzy POZNAŃ","9.00, 11.00","czas letni: 18.00; czas zimowy: 17.00","9.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_zninski/chomiaza_szlachecka_par._pw._sw._jana_chrzciciela.html"
"Parafia pw. św. Jana Chrzciciela","62-404 Ciążeń, ul. Wolności 1","","","63/276.41.10","ks. Mieczysław STACHOWICZ","8.00, 9.40, 11.30","czas letni: 18.00; czas zimowy: 17.00","9.40, 18.00; czas zimowy: 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_slupecki/ciazen_par._pw._sw._jana_chrzciciela.html"
"Parafia pw. św. Katarzyny Aleksandryjskiej","62‑400 Słupca, Cienin Kościelny ","","katarzynyaleks@onet.eu","63/277.20.08","ks. Marian Adam SKIBIŃSKI","7.30, 9.00, 11.00; lipiec-sierpień: 7.00","17.00; środa: 7.30","9.00, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_golinski/cienin_koscielny_par._pw._sw._katarzyny_aleksandryjskiej.html"
"Parafia pw. św. Jana Chrzciciela","62-250 Czerniejewo, Pl. Ks. Onufrego Kopczyńskiego 7","www.parafia-czerniejewo.pl/","","61/427.30.36","ks. Adam KAPKA","8.00, 10.00, 11.30, 16.00","","8.00, 10.00, 16.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wrzesinski_i/czerniejewo_par._pw._sw._jana_chrzciciela.html"
