"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Świętego Marcina","83-225 Skórcz","Barłożno","83-225 Skórcz Barłożno","","","58 582 16 96","ks. Jarosław Skwierawski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=362:Parafia-Swietego-Marcina"
"Parafia Świętego Jana Chrzciciela","84-352 Wicko","Białogarda","84-352 Wicko Białogarda","","","59 861 11 42","ks. Krzysztof Kozakiewicz, mgr teol.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=292:Parafia-Swietego-Jana-Chrzciciela"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","84-113","Białogóra","84-113 Białogóra","","","58 673 51 51","ks. Tomasz Juchniewicz, mgr teol.","godz. 10.00, 17.00 ","godz. 17.00","godz. 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=205:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny"
"Parafia Świętego Wojciecha","83-212","Bobowo","83-212 Bobowo, Gdańska 90,","","","58 562 17 33","ks. Mariusz Szyca, mgr teol.","godz. 8.00, 9.30 (Wysoka), 11.00 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9.00, 17.00, 18.30 (Wysoka) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=324:Parafia-Swietego-Wojciecha"
"Parafia Chrystusa Króla Wszechświata","83-332 Dzierżążno","Borowo","83-332 Dzierżążno Borowo, Gdańska 8","","","58 681 24 21","-","godz. 7.30, 9.00 (szpital), 11.00 ","godz. 17.00 (zimą), 18.00 (latem) godz. 15.00 (szpital, I piątek miesiąca)","godz. 9:00, 15.00 (szpital), 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=241:Parafia-Chrystusa-Krola-Wszechswiata"
"Parafia Ducha Świętego","77-138 Borowy Młyn","Borowy Młyn","77-138 Borowy Młyn Borowy Młyn, Jana Pawła II 24","","","59 821 85 32","ks. Jacek Halman","godz. 8.30, 11.00 ","godz. 7.30 lub 17.00","godz. 8.30, 17.00 ","53.965745976858,17.315537412476","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=135:Parafia-Ducha-Swietego"
"Parafia Świętej Anny","83-224","Boryechowo","83-224 Boryechowo, Lipowa 4","","","58 588 48 01","ks. Adam Kazimierz Kapelusz, mgr teol.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=421:Parafia-Swietej-Anny"
"Parafia Świętego Marcina z Tours Biskupa i Wyznawcy","77-130 Lipnica","Borzyszkowy","77-130 Lipnica Borzyszkowy, Borzyszkowy 29","","","59 822 39 31","ks. Ryszard Górny","godz. 7.30, 9.00 (Łąkie), 10.30 ","godz. 8.00 lub 17.00","godz. 10.00, 17.00 (Łąkie), 18.30 ","54.032607987564,17.373730631958","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=136:Parafia-Swietego-Marcina-z-Tours-Biskupa-i-Wyznawcy"
"Parafia Najświętszego Serca Jezusa","77-141","Borzytuchom","77-141 Borzytuchom","","","59 821 13 60","ks. Jan Ciołek","godz. 8.00, 9.45 (Osieki Bytowskie), 11.30 ","godz. 8.00 lub 17.15 (zimą), 18.00 (latem)","godz. 10.00, 16.30 (Osieki Bytowskie), 18.00 ","54.200138367864,17.368639340198","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=155:Parafia-Najswietszego-Serca-Jezusa"
"Parafia Świętego Piotra Apostoła","84-214","Bożepole Wielkie","84-214 Bożepole Wielkie, Chmieleniecka 36","","","58 678 97 34","ks. Alfons Formela,","godz. 8.00, 10.00, 19.00 ","godz. 17.00 (X-IV) godz. 19.00 (V-IX)","godz. 10.00, 17.00 (X-IV) godz. 1:900 (V-IX) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=206:Parafia-Swietego-Piotra-Apostola"
"Parafia Najświętszego Serca Pana Jezusa","83-324","Brodnica Górna","83-324 Brodnica Górna, Ostrzycka 6","","","58 684 52 25","ks. Kazimierz Adam Benkowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=383:Parafia-Najswietszego-Serca-Pana-Jezusa"
